datetime,height,port
2024-08-01 02:21:00-03:00,3.58,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-01 08:20:00-03:00,10.22,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-01 14:45:00-03:00,4.21,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-01 20:27:00-03:00,10.44,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-02 03:25:00-03:00,2.98,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-02 09:21:00-03:00,10.6,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-02 15:46:00-03:00,3.76,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-02 21:30:00-03:00,10.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-03 04:20:00-03:00,2.35,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-03 10:13:00-03:00,10.95,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-03 16:38:00-03:00,3.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-03 22:21:00-03:00,10.97,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-04 05:08:00-03:00,1.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-04 10:57:00-03:00,11.17,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-04 17:25:00-03:00,2.78,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-04 23:06:00-03:00,11.1,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-05 05:51:00-03:00,1.51,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-05 11:37:00-03:00,11.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-05 18:07:00-03:00,2.52,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-05 23:45:00-03:00,11.08,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-06 06:31:00-03:00,1.46,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-06 12:12:00-03:00,11.13,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-06 18:43:00-03:00,2.48,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-07 00:18:00-03:00,10.93,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-07 07:05:00-03:00,1.67,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-07 12:42:00-03:00,10.94,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-07 19:13:00-03:00,2.66,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-08 00:49:00-03:00,10.71,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-08 07:33:00-03:00,2.08,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-08 13:10:00-03:00,10.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-08 19:37:00-03:00,2.95,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-09 01:20:00-03:00,10.45,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-09 07:56:00-03:00,2.59,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-09 13:40:00-03:00,10.51,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-09 20:01:00-03:00,3.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-10 01:53:00-03:00,10.19,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-10 08:22:00-03:00,3.11,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-10 14:12:00-03:00,10.32,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-10 20:31:00-03:00,3.61,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-11 02:28:00-03:00,9.93,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-11 08:53:00-03:00,3.63,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-11 14:47:00-03:00,10.13,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-11 21:05:00-03:00,3.94,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-12 03:07:00-03:00,9.68,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-12 09:29:00-03:00,4.13,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-12 15:24:00-03:00,9.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-12 21:44:00-03:00,4.22,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-13 03:51:00-03:00,9.44,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-13 10:11:00-03:00,4.56,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-13 16:07:00-03:00,9.79,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-13 22:30:00-03:00,4.41,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-14 04:44:00-03:00,9.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-14 11:00:00-03:00,4.84,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-14 16:59:00-03:00,9.66,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-14 23:26:00-03:00,4.44,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-15 05:48:00-03:00,9.26,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-15 12:00:00-03:00,4.88,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-15 18:02:00-03:00,9.65,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-16 00:34:00-03:00,4.22,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-16 06:59:00-03:00,9.52,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-16 13:09:00-03:00,4.59,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-16 19:13:00-03:00,9.9,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-17 01:55:00-03:00,3.66,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-17 08:10:00-03:00,10.06,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-17 14:27:00-03:00,3.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-17 20:24:00-03:00,10.43,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-18 03:12:00-03:00,2.78,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-18 09:13:00-03:00,10.77,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-18 15:36:00-03:00,3.08,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-18 21:28:00-03:00,11.13,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-19 04:14:00-03:00,1.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-19 10:08:00-03:00,11.47,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-19 16:35:00-03:00,2.2,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-19 22:25:00-03:00,11.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-20 05:09:00-03:00,0.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-20 10:58:00-03:00,12.04,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-20 17:28:00-03:00,1.48,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-20 23:16:00-03:00,12.37,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-21 05:59:00-03:00,0.41,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-21 11:46:00-03:00,12.42,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-21 18:17:00-03:00,1.05,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-22 00:05:00-03:00,12.67,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-22 06:46:00-03:00,0.24,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-22 12:31:00-03:00,12.57,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-22 19:04:00-03:00,0.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-23 00:51:00-03:00,12.68,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-23 07:31:00-03:00,0.48,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-23 13:15:00-03:00,12.49,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-23 19:49:00-03:00,1.22,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-24 01:36:00-03:00,12.4,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-24 08:16:00-03:00,1.09,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-24 13:58:00-03:00,12.19,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-24 20:33:00-03:00,1.75,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-25 02:22:00-03:00,11.88,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-25 08:59:00-03:00,1.99,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-25 14:40:00-03:00,11.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-25 21:19:00-03:00,2.47,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-26 03:10:00-03:00,11.2,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-26 09:45:00-03:00,3.0,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-26 15:25:00-03:00,11.14,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-26 22:09:00-03:00,3.22,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-27 04:04:00-03:00,10.47,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-27 10:36:00-03:00,3.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-27 16:15:00-03:00,10.52,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-27 23:18:00-03:00,3.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-28 05:16:00-03:00,9.9,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-28 11:53:00-03:00,4.62,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-28 17:20:00-03:00,9.99,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-29 00:54:00-03:00,3.92,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-29 07:00:00-03:00,9.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-29 13:23:00-03:00,4.66,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-29 19:08:00-03:00,9.85,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-30 02:08:00-03:00,3.46,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-30 08:12:00-03:00,10.2,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-30 14:31:00-03:00,4.19,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-30 20:25:00-03:00,10.19,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-31 03:06:00-03:00,2.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-31 09:06:00-03:00,10.67,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-31 15:27:00-03:00,3.56,PUNTA LOYOLA (Muelle Presidente Illia)
2024-08-31 21:20:00-03:00,10.61,PUNTA LOYOLA (Muelle Presidente Illia)
