datetime,height,port
2024-10-01 04:52:00-03:00,1.97,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-01 10:42:00-03:00,10.07,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-01 17:13:00-03:00,2.51,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-01 22:49:00-03:00,10.15,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-02 05:28:00-03:00,1.85,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-02 11:11:00-03:00,10.26,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-02 17:45:00-03:00,2.27,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-02 23:20:00-03:00,10.41,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-03 06:00:00-03:00,1.9,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-03 11:37:00-03:00,10.37,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-03 18:13:00-03:00,2.15,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-03 23:49:00-03:00,10.55,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-04 06:28:00-03:00,2.1,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-04 12:03:00-03:00,10.44,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-04 18:39:00-03:00,2.11,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-05 00:18:00-03:00,10.57,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-05 06:52:00-03:00,2.38,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-05 12:29:00-03:00,10.47,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-05 19:03:00-03:00,2.13,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-06 00:47:00-03:00,10.49,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-06 07:14:00-03:00,2.68,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-06 12:56:00-03:00,10.45,PUNTA QUILLA (Puerto Santa Cruz)
2024-10-06 19:26:00-03:00,2.2,PUNTA QUILLA (Puerto Santa Cruz)
