datetime,height,port
2024-02-01 02:57:00-03:00,9.56,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-01 09:23:00-03:00,3.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-01 15:12:00-03:00,9.57,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-01 21:38:00-03:00,3.19,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-02 03:33:00-03:00,9.46,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-02 09:56:00-03:00,3.24,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-02 15:55:00-03:00,9.31,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-02 22:12:00-03:00,3.46,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-03 04:15:00-03:00,9.35,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-03 10:38:00-03:00,3.27,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-03 16:46:00-03:00,9.03,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-03 22:55:00-03:00,3.71,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-04 05:08:00-03:00,9.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-04 11:31:00-03:00,3.3,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-04 17:49:00-03:00,8.81,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-04 23:51:00-03:00,3.92,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-05 06:11:00-03:00,9.18,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-05 12:37:00-03:00,3.27,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-05 19:01:00-03:00,8.81,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-06 01:02:00-03:00,3.99,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-06 07:23:00-03:00,9.33,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-06 13:53:00-03:00,3.05,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-06 20:13:00-03:00,9.12,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-07 02:22:00-03:00,3.79,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-07 08:31:00-03:00,9.75,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-07 15:09:00-03:00,2.58,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-07 21:17:00-03:00,9.69,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-08 03:37:00-03:00,3.28,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-08 09:34:00-03:00,10.34,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-08 16:14:00-03:00,1.92,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-08 22:14:00-03:00,10.38,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-09 04:41:00-03:00,2.59,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-09 10:29:00-03:00,10.99,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-09 17:11:00-03:00,1.24,PUNTA QUILLA (Puerto Santa Cruz)
2024-02-09 23:06:00-03:00,11.06,PUNTA QUILLA (Puerto Santa Cruz)
