datetime,height,port
2024-04-01 03:03:00-03:00,9.85,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-01 09:30:00-03:00,2.8,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-01 15:42:00-03:00,9.16,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-01 21:47:00-03:00,3.86,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-02 03:58:00-03:00,9.36,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-02 10:32:00-03:00,3.18,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-02 16:49:00-03:00,8.72,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-02 23:00:00-03:00,4.21,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-03 05:11:00-03:00,8.96,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-03 11:53:00-03:00,3.38,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-03 18:15:00-03:00,8.64,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-04 00:33:00-03:00,4.2,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-04 06:41:00-03:00,8.99,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-04 13:22:00-03:00,3.15,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-04 19:38:00-03:00,9.11,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-05 02:02:00-03:00,3.67,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-05 08:01:00-03:00,9.54,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-05 14:38:00-03:00,2.54,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-05 20:44:00-03:00,9.93,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-06 03:11:00-03:00,2.81,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-06 09:04:00-03:00,10.36,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-06 15:39:00-03:00,1.76,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-06 21:38:00-03:00,10.82,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-07 04:07:00-03:00,1.87,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-07 09:57:00-03:00,11.19,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-07 16:30:00-03:00,1.05,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-07 22:25:00-03:00,11.61,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-08 04:55:00-03:00,1.06,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-08 10:45:00-03:00,11.87,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-08 17:17:00-03:00,0.53,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-08 23:09:00-03:00,12.16,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-09 05:40:00-03:00,0.5,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-09 11:30:00-03:00,12.28,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-09 18:02:00-03:00,0.31,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-09 23:52:00-03:00,12.4,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-10 06:24:00-03:00,0.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-10 12:14:00-03:00,12.37,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-10 18:45:00-03:00,0.41,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-11 00:33:00-03:00,12.31,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-11 07:08:00-03:00,0.29,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-11 12:57:00-03:00,12.12,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-11 19:29:00-03:00,0.82,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-12 01:15:00-03:00,11.89,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-12 07:52:00-03:00,0.65,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-12 13:42:00-03:00,11.57,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-12 20:15:00-03:00,1.5,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-13 01:58:00-03:00,11.22,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-13 08:38:00-03:00,1.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-13 14:28:00-03:00,10.79,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-13 21:04:00-03:00,2.35,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-14 02:43:00-03:00,10.37,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-14 09:29:00-03:00,1.95,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-14 15:20:00-03:00,9.91,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-14 21:59:00-03:00,3.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-15 03:34:00-03:00,9.47,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-15 10:27:00-03:00,2.66,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-15 16:24:00-03:00,9.08,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-15 23:04:00-03:00,3.98,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-16 04:37:00-03:00,8.68,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-16 11:36:00-03:00,3.21,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-16 17:47:00-03:00,8.54,PUNTA QUILLA (Puerto Santa Cruz)
2024-04-17 00:21:00-03:00,4.39,PUNTA QUILLA (Puerto Santa Cruz)
