datetime,height,port
2024-06-01 00:10:00-03:00,3.2,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-01 06:06:00-03:00,9.51,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-01 12:39:00-03:00,2.59,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-01 18:49:00-03:00,9.83,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-02 01:16:00-03:00,2.84,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-02 07:16:00-03:00,9.79,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-02 13:43:00-03:00,2.4,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-02 19:50:00-03:00,10.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-03 02:18:00-03:00,2.36,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-03 08:17:00-03:00,10.21,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-03 14:43:00-03:00,2.15,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-03 20:44:00-03:00,10.66,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-04 03:15:00-03:00,1.86,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-04 09:12:00-03:00,10.64,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-04 15:38:00-03:00,1.92,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-04 21:33:00-03:00,11.01,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-05 04:08:00-03:00,1.44,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-05 10:02:00-03:00,10.97,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-05 16:31:00-03:00,1.79,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-05 22:20:00-03:00,11.21,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-06 04:58:00-03:00,1.14,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-06 10:50:00-03:00,11.14,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-06 17:21:00-03:00,1.79,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-06 23:05:00-03:00,11.25,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-07 05:46:00-03:00,1.01,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-07 11:37:00-03:00,11.13,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-07 18:10:00-03:00,1.94,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-07 23:49:00-03:00,11.11,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-08 06:34:00-03:00,1.06,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-08 12:22:00-03:00,10.94,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-08 18:58:00-03:00,2.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-09 00:32:00-03:00,10.81,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-09 07:21:00-03:00,1.27,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-09 13:08:00-03:00,10.59,PUNTA QUILLA (Puerto Santa Cruz)
2024-06-09 19:46:00-03:00,2.62,PUNTA QUILLA (Puerto Santa Cruz)
