datetime,height,port
2024-07-01 00:44:00-03:00,2.62,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-01 06:46:00-03:00,9.74,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-01 13:11:00-03:00,2.64,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-01 19:17:00-03:00,10.0,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-02 01:48:00-03:00,2.49,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-02 07:51:00-03:00,9.82,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-02 14:16:00-03:00,2.72,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-02 20:16:00-03:00,10.11,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-03 02:51:00-03:00,2.26,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-03 08:52:00-03:00,10.01,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-03 15:19:00-03:00,2.7,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-03 21:12:00-03:00,10.26,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-04 03:52:00-03:00,1.97,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-04 09:48:00-03:00,10.23,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-04 16:19:00-03:00,2.62,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-04 22:03:00-03:00,10.4,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-05 04:47:00-03:00,1.69,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-05 10:40:00-03:00,10.41,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-05 17:14:00-03:00,2.54,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-05 22:51:00-03:00,10.48,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-06 05:39:00-03:00,1.47,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-06 11:28:00-03:00,10.5,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-06 18:05:00-03:00,2.51,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-06 23:37:00-03:00,10.5,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-07 06:26:00-03:00,1.37,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-07 12:14:00-03:00,10.48,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-07 18:52:00-03:00,2.57,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-08 00:20:00-03:00,10.42,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-08 07:12:00-03:00,1.42,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-08 12:57:00-03:00,10.34,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-08 19:35:00-03:00,2.72,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-09 01:01:00-03:00,10.26,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-09 07:54:00-03:00,1.63,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-09 13:38:00-03:00,10.1,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-09 20:16:00-03:00,2.94,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-10 01:41:00-03:00,10.03,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-10 08:35:00-03:00,1.96,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-10 14:17:00-03:00,9.79,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-10 20:55:00-03:00,3.2,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-11 02:21:00-03:00,9.75,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-11 09:13:00-03:00,2.38,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-11 14:55:00-03:00,9.47,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-11 21:32:00-03:00,3.44,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-12 03:00:00-03:00,9.45,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-12 09:49:00-03:00,2.84,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-12 15:32:00-03:00,9.18,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-12 22:07:00-03:00,3.64,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-13 03:42:00-03:00,9.15,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-13 10:25:00-03:00,3.28,PUNTA QUILLA (Puerto Santa Cruz)
2024-07-13 16:11:00-03:00,8.95,PUNTA QUILLA (Puerto Santa Cruz)
