datetime,height,port
2024-10-01 05:37:00-03:00,1.0,RÍO NEGRO (Punta Redonda)
2024-10-01 11:40:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-10-01 17:51:00-03:00,0.75,RÍO NEGRO (Punta Redonda)
2024-10-02 00:09:00-03:00,3.67,RÍO NEGRO (Punta Redonda)
2024-10-02 06:20:00-03:00,0.86,RÍO NEGRO (Punta Redonda)
2024-10-02 12:23:00-03:00,3.52,RÍO NEGRO (Punta Redonda)
2024-10-02 18:30:00-03:00,0.72,RÍO NEGRO (Punta Redonda)
2024-10-03 00:45:00-03:00,3.76,RÍO NEGRO (Punta Redonda)
2024-10-03 06:58:00-03:00,0.75,RÍO NEGRO (Punta Redonda)
2024-10-03 13:01:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-10-03 19:05:00-03:00,0.72,RÍO NEGRO (Punta Redonda)
2024-10-04 01:18:00-03:00,3.82,RÍO NEGRO (Punta Redonda)
2024-10-04 07:33:00-03:00,0.68,RÍO NEGRO (Punta Redonda)
2024-10-04 13:36:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-10-04 19:37:00-03:00,0.75,RÍO NEGRO (Punta Redonda)
2024-10-05 01:49:00-03:00,3.85,RÍO NEGRO (Punta Redonda)
2024-10-05 08:06:00-03:00,0.64,RÍO NEGRO (Punta Redonda)
2024-10-05 14:10:00-03:00,3.52,RÍO NEGRO (Punta Redonda)
2024-10-05 20:08:00-03:00,0.8,RÍO NEGRO (Punta Redonda)
2024-10-06 02:20:00-03:00,3.85,RÍO NEGRO (Punta Redonda)
2024-10-06 08:39:00-03:00,0.63,RÍO NEGRO (Punta Redonda)
2024-10-06 14:44:00-03:00,3.48,RÍO NEGRO (Punta Redonda)
2024-10-06 20:40:00-03:00,0.86,RÍO NEGRO (Punta Redonda)
2024-10-07 02:52:00-03:00,3.83,RÍO NEGRO (Punta Redonda)
2024-10-07 09:13:00-03:00,0.65,RÍO NEGRO (Punta Redonda)
2024-10-07 15:20:00-03:00,3.41,RÍO NEGRO (Punta Redonda)
2024-10-07 21:15:00-03:00,0.95,RÍO NEGRO (Punta Redonda)
2024-10-08 03:27:00-03:00,3.76,RÍO NEGRO (Punta Redonda)
2024-10-08 09:51:00-03:00,0.7,RÍO NEGRO (Punta Redonda)
2024-10-08 15:59:00-03:00,3.33,RÍO NEGRO (Punta Redonda)
2024-10-08 21:54:00-03:00,1.05,RÍO NEGRO (Punta Redonda)
2024-10-09 04:06:00-03:00,3.67,RÍO NEGRO (Punta Redonda)
2024-10-09 10:33:00-03:00,0.78,RÍO NEGRO (Punta Redonda)
2024-10-09 16:45:00-03:00,3.25,RÍO NEGRO (Punta Redonda)
2024-10-09 22:40:00-03:00,1.17,RÍO NEGRO (Punta Redonda)
2024-10-10 04:52:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-10-10 11:23:00-03:00,0.86,RÍO NEGRO (Punta Redonda)
2024-10-10 17:40:00-03:00,3.19,RÍO NEGRO (Punta Redonda)
2024-10-10 23:36:00-03:00,1.28,RÍO NEGRO (Punta Redonda)
2024-10-11 05:48:00-03:00,3.42,RÍO NEGRO (Punta Redonda)
2024-10-11 12:21:00-03:00,0.93,RÍO NEGRO (Punta Redonda)
2024-10-11 18:44:00-03:00,3.17,RÍO NEGRO (Punta Redonda)
2024-10-12 00:44:00-03:00,1.34,RÍO NEGRO (Punta Redonda)
2024-10-12 06:55:00-03:00,3.33,RÍO NEGRO (Punta Redonda)
2024-10-12 13:27:00-03:00,0.94,RÍO NEGRO (Punta Redonda)
2024-10-12 19:53:00-03:00,3.25,RÍO NEGRO (Punta Redonda)
2024-10-13 01:59:00-03:00,1.29,RÍO NEGRO (Punta Redonda)
2024-10-13 08:07:00-03:00,3.33,RÍO NEGRO (Punta Redonda)
2024-10-13 14:33:00-03:00,0.87,RÍO NEGRO (Punta Redonda)
2024-10-13 21:00:00-03:00,3.42,RÍO NEGRO (Punta Redonda)
