datetime,height,port
2024-11-01 00:00:00-03:00,3.77,RÍO NEGRO (Punta Redonda)
2024-11-01 06:22:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
2024-11-01 12:26:00-03:00,3.36,RÍO NEGRO (Punta Redonda)
2024-11-01 18:20:00-03:00,0.92,RÍO NEGRO (Punta Redonda)
2024-11-02 00:34:00-03:00,3.82,RÍO NEGRO (Punta Redonda)
2024-11-02 06:57:00-03:00,0.66,RÍO NEGRO (Punta Redonda)
2024-11-02 13:02:00-03:00,3.38,RÍO NEGRO (Punta Redonda)
2024-11-02 18:54:00-03:00,0.94,RÍO NEGRO (Punta Redonda)
2024-11-03 01:06:00-03:00,3.84,RÍO NEGRO (Punta Redonda)
2024-11-03 07:31:00-03:00,0.61,RÍO NEGRO (Punta Redonda)
2024-11-03 13:38:00-03:00,3.39,RÍO NEGRO (Punta Redonda)
2024-11-03 19:29:00-03:00,0.97,RÍO NEGRO (Punta Redonda)
2024-11-04 01:40:00-03:00,3.84,RÍO NEGRO (Punta Redonda)
2024-11-04 08:06:00-03:00,0.58,RÍO NEGRO (Punta Redonda)
2024-11-04 14:16:00-03:00,3.38,RÍO NEGRO (Punta Redonda)
2024-11-04 20:06:00-03:00,1.02,RÍO NEGRO (Punta Redonda)
2024-11-05 02:16:00-03:00,3.81,RÍO NEGRO (Punta Redonda)
2024-11-05 08:44:00-03:00,0.58,RÍO NEGRO (Punta Redonda)
2024-11-05 14:56:00-03:00,3.37,RÍO NEGRO (Punta Redonda)
2024-11-05 20:47:00-03:00,1.07,RÍO NEGRO (Punta Redonda)
2024-11-06 02:56:00-03:00,3.75,RÍO NEGRO (Punta Redonda)
2024-11-06 09:26:00-03:00,0.61,RÍO NEGRO (Punta Redonda)
2024-11-06 15:41:00-03:00,3.35,RÍO NEGRO (Punta Redonda)
2024-11-06 21:33:00-03:00,1.14,RÍO NEGRO (Punta Redonda)
2024-11-07 03:41:00-03:00,3.66,RÍO NEGRO (Punta Redonda)
2024-11-07 10:12:00-03:00,0.65,RÍO NEGRO (Punta Redonda)
2024-11-07 16:32:00-03:00,3.35,RÍO NEGRO (Punta Redonda)
2024-11-07 22:27:00-03:00,1.21,RÍO NEGRO (Punta Redonda)
2024-11-08 04:33:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-11-08 11:04:00-03:00,0.7,RÍO NEGRO (Punta Redonda)
2024-11-08 17:29:00-03:00,3.37,RÍO NEGRO (Punta Redonda)
2024-11-08 23:28:00-03:00,1.24,RÍO NEGRO (Punta Redonda)
2024-11-09 05:33:00-03:00,3.45,RÍO NEGRO (Punta Redonda)
2024-11-09 12:02:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
2024-11-09 18:30:00-03:00,3.43,RÍO NEGRO (Punta Redonda)
2024-11-10 00:35:00-03:00,1.21,RÍO NEGRO (Punta Redonda)
2024-11-10 06:38:00-03:00,3.39,RÍO NEGRO (Punta Redonda)
2024-11-10 13:02:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
2024-11-10 19:32:00-03:00,3.56,RÍO NEGRO (Punta Redonda)
2024-11-11 01:43:00-03:00,1.1,RÍO NEGRO (Punta Redonda)
2024-11-11 07:45:00-03:00,3.4,RÍO NEGRO (Punta Redonda)
2024-11-11 14:03:00-03:00,0.69,RÍO NEGRO (Punta Redonda)
2024-11-11 20:31:00-03:00,3.73,RÍO NEGRO (Punta Redonda)
2024-11-12 02:47:00-03:00,0.91,RÍO NEGRO (Punta Redonda)
2024-11-12 08:49:00-03:00,3.47,RÍO NEGRO (Punta Redonda)
2024-11-12 15:01:00-03:00,0.62,RÍO NEGRO (Punta Redonda)
2024-11-12 21:26:00-03:00,3.92,RÍO NEGRO (Punta Redonda)
2024-11-13 03:46:00-03:00,0.7,RÍO NEGRO (Punta Redonda)
2024-11-13 09:49:00-03:00,3.57,RÍO NEGRO (Punta Redonda)
2024-11-13 15:56:00-03:00,0.55,RÍO NEGRO (Punta Redonda)
2024-11-13 22:18:00-03:00,4.09,RÍO NEGRO (Punta Redonda)
2024-11-14 04:39:00-03:00,0.48,RÍO NEGRO (Punta Redonda)
2024-11-14 10:44:00-03:00,3.68,RÍO NEGRO (Punta Redonda)
2024-11-14 16:47:00-03:00,0.49,RÍO NEGRO (Punta Redonda)
2024-11-14 23:06:00-03:00,4.23,RÍO NEGRO (Punta Redonda)
2024-11-15 05:29:00-03:00,0.3,RÍO NEGRO (Punta Redonda)
2024-11-15 11:37:00-03:00,3.77,RÍO NEGRO (Punta Redonda)
2024-11-15 17:37:00-03:00,0.47,RÍO NEGRO (Punta Redonda)
2024-11-15 23:53:00-03:00,4.31,RÍO NEGRO (Punta Redonda)
2024-11-16 06:18:00-03:00,0.18,RÍO NEGRO (Punta Redonda)
2024-11-16 12:27:00-03:00,3.81,RÍO NEGRO (Punta Redonda)
2024-11-16 18:25:00-03:00,0.5,RÍO NEGRO (Punta Redonda)
2024-11-17 00:40:00-03:00,4.33,RÍO NEGRO (Punta Redonda)
2024-11-17 07:06:00-03:00,0.12,RÍO NEGRO (Punta Redonda)
2024-11-17 13:17:00-03:00,3.82,RÍO NEGRO (Punta Redonda)
2024-11-17 19:13:00-03:00,0.58,RÍO NEGRO (Punta Redonda)
2024-11-18 01:26:00-03:00,4.27,RÍO NEGRO (Punta Redonda)
2024-11-18 07:53:00-03:00,0.13,RÍO NEGRO (Punta Redonda)
2024-11-18 14:07:00-03:00,3.78,RÍO NEGRO (Punta Redonda)
2024-11-18 20:02:00-03:00,0.7,RÍO NEGRO (Punta Redonda)
2024-11-19 02:13:00-03:00,4.15,RÍO NEGRO (Punta Redonda)
2024-11-19 08:41:00-03:00,0.2,RÍO NEGRO (Punta Redonda)
2024-11-19 14:58:00-03:00,3.7,RÍO NEGRO (Punta Redonda)
2024-11-19 20:53:00-03:00,0.85,RÍO NEGRO (Punta Redonda)
2024-11-20 03:02:00-03:00,3.98,RÍO NEGRO (Punta Redonda)
2024-11-20 09:31:00-03:00,0.31,RÍO NEGRO (Punta Redonda)
2024-11-20 15:51:00-03:00,3.62,RÍO NEGRO (Punta Redonda)
2024-11-20 21:47:00-03:00,1.01,RÍO NEGRO (Punta Redonda)
2024-11-21 03:53:00-03:00,3.78,RÍO NEGRO (Punta Redonda)
2024-11-21 10:22:00-03:00,0.45,RÍO NEGRO (Punta Redonda)
2024-11-21 16:47:00-03:00,3.54,RÍO NEGRO (Punta Redonda)
2024-11-21 22:45:00-03:00,1.14,RÍO NEGRO (Punta Redonda)
2024-11-22 04:47:00-03:00,3.57,RÍO NEGRO (Punta Redonda)
2024-11-22 11:16:00-03:00,0.6,RÍO NEGRO (Punta Redonda)
2024-11-22 17:44:00-03:00,3.48,RÍO NEGRO (Punta Redonda)
