datetime,height,port
2024-03-01 04:07:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-03-01 10:10:00-03:00,0.76,RÍO NEGRO (Punta Redonda)
2024-03-01 16:28:00-03:00,3.77,RÍO NEGRO (Punta Redonda)
2024-03-01 22:44:00-03:00,0.83,RÍO NEGRO (Punta Redonda)
2024-03-02 04:46:00-03:00,3.36,RÍO NEGRO (Punta Redonda)
2024-03-02 10:47:00-03:00,0.86,RÍO NEGRO (Punta Redonda)
2024-03-02 17:06:00-03:00,3.73,RÍO NEGRO (Punta Redonda)
2024-03-02 23:27:00-03:00,0.88,RÍO NEGRO (Punta Redonda)
2024-03-03 05:30:00-03:00,3.26,RÍO NEGRO (Punta Redonda)
2024-03-03 11:29:00-03:00,0.99,RÍO NEGRO (Punta Redonda)
2024-03-03 17:50:00-03:00,3.65,RÍO NEGRO (Punta Redonda)
2024-03-04 00:16:00-03:00,0.94,RÍO NEGRO (Punta Redonda)
2024-03-04 06:22:00-03:00,3.15,RÍO NEGRO (Punta Redonda)
2024-03-04 12:20:00-03:00,1.12,RÍO NEGRO (Punta Redonda)
2024-03-04 18:42:00-03:00,3.56,RÍO NEGRO (Punta Redonda)
2024-03-05 01:14:00-03:00,0.98,RÍO NEGRO (Punta Redonda)
2024-03-05 07:24:00-03:00,3.08,RÍO NEGRO (Punta Redonda)
2024-03-05 13:22:00-03:00,1.23,RÍO NEGRO (Punta Redonda)
2024-03-05 19:44:00-03:00,3.48,RÍO NEGRO (Punta Redonda)
2024-03-06 02:20:00-03:00,0.98,RÍO NEGRO (Punta Redonda)
2024-03-06 08:36:00-03:00,3.09,RÍO NEGRO (Punta Redonda)
2024-03-06 14:34:00-03:00,1.27,RÍO NEGRO (Punta Redonda)
2024-03-06 20:53:00-03:00,3.47,RÍO NEGRO (Punta Redonda)
2024-03-07 03:28:00-03:00,0.9,RÍO NEGRO (Punta Redonda)
2024-03-07 09:48:00-03:00,3.22,RÍO NEGRO (Punta Redonda)
2024-03-07 15:48:00-03:00,1.19,RÍO NEGRO (Punta Redonda)
2024-03-07 22:02:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-03-08 04:32:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
2024-03-08 10:52:00-03:00,3.43,RÍO NEGRO (Punta Redonda)
2024-03-08 16:55:00-03:00,1.01,RÍO NEGRO (Punta Redonda)
2024-03-08 23:05:00-03:00,3.7,RÍO NEGRO (Punta Redonda)
2024-03-09 05:29:00-03:00,0.54,RÍO NEGRO (Punta Redonda)
2024-03-09 11:47:00-03:00,3.7,RÍO NEGRO (Punta Redonda)
2024-03-09 17:53:00-03:00,0.78,RÍO NEGRO (Punta Redonda)
2024-03-10 00:01:00-03:00,3.87,RÍO NEGRO (Punta Redonda)
2024-03-10 06:19:00-03:00,0.35,RÍO NEGRO (Punta Redonda)
2024-03-10 12:37:00-03:00,3.95,RÍO NEGRO (Punta Redonda)
2024-03-10 18:44:00-03:00,0.54,RÍO NEGRO (Punta Redonda)
2024-03-11 00:51:00-03:00,4.01,RÍO NEGRO (Punta Redonda)
2024-03-11 07:06:00-03:00,0.2,RÍO NEGRO (Punta Redonda)
2024-03-11 13:22:00-03:00,4.16,RÍO NEGRO (Punta Redonda)
2024-03-11 19:32:00-03:00,0.36,RÍO NEGRO (Punta Redonda)
2024-03-12 01:39:00-03:00,4.11,RÍO NEGRO (Punta Redonda)
2024-03-12 07:50:00-03:00,0.12,RÍO NEGRO (Punta Redonda)
2024-03-12 14:06:00-03:00,4.3,RÍO NEGRO (Punta Redonda)
2024-03-12 20:18:00-03:00,0.23,RÍO NEGRO (Punta Redonda)
2024-03-13 02:24:00-03:00,4.13,RÍO NEGRO (Punta Redonda)
2024-03-13 08:33:00-03:00,0.12,RÍO NEGRO (Punta Redonda)
2024-03-13 14:49:00-03:00,4.35,RÍO NEGRO (Punta Redonda)
2024-03-13 21:03:00-03:00,0.2,RÍO NEGRO (Punta Redonda)
2024-03-14 03:09:00-03:00,4.07,RÍO NEGRO (Punta Redonda)
2024-03-14 09:16:00-03:00,0.21,RÍO NEGRO (Punta Redonda)
2024-03-14 15:32:00-03:00,4.31,RÍO NEGRO (Punta Redonda)
2024-03-14 21:48:00-03:00,0.24,RÍO NEGRO (Punta Redonda)
2024-03-15 03:55:00-03:00,3.94,RÍO NEGRO (Punta Redonda)
2024-03-15 10:00:00-03:00,0.37,RÍO NEGRO (Punta Redonda)
2024-03-15 16:16:00-03:00,4.19,RÍO NEGRO (Punta Redonda)
2024-03-15 22:35:00-03:00,0.36,RÍO NEGRO (Punta Redonda)
2024-03-16 04:43:00-03:00,3.75,RÍO NEGRO (Punta Redonda)
2024-03-16 10:46:00-03:00,0.6,RÍO NEGRO (Punta Redonda)
2024-03-16 17:02:00-03:00,4.01,RÍO NEGRO (Punta Redonda)
2024-03-16 23:25:00-03:00,0.53,RÍO NEGRO (Punta Redonda)
2024-03-17 05:35:00-03:00,3.52,RÍO NEGRO (Punta Redonda)
2024-03-17 11:36:00-03:00,0.86,RÍO NEGRO (Punta Redonda)
2024-03-17 17:53:00-03:00,3.78,RÍO NEGRO (Punta Redonda)
2024-03-18 00:21:00-03:00,0.72,RÍO NEGRO (Punta Redonda)
2024-03-18 06:34:00-03:00,3.31,RÍO NEGRO (Punta Redonda)
2024-03-18 12:34:00-03:00,1.11,RÍO NEGRO (Punta Redonda)
2024-03-18 18:51:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-03-19 01:23:00-03:00,0.89,RÍO NEGRO (Punta Redonda)
2024-03-19 07:42:00-03:00,3.16,RÍO NEGRO (Punta Redonda)
2024-03-19 13:41:00-03:00,1.31,RÍO NEGRO (Punta Redonda)
2024-03-19 19:57:00-03:00,3.38,RÍO NEGRO (Punta Redonda)
2024-03-20 02:32:00-03:00,0.98,RÍO NEGRO (Punta Redonda)
2024-03-20 08:56:00-03:00,3.11,RÍO NEGRO (Punta Redonda)
2024-03-20 14:56:00-03:00,1.39,RÍO NEGRO (Punta Redonda)
2024-03-20 21:08:00-03:00,3.29,RÍO NEGRO (Punta Redonda)
2024-03-21 03:41:00-03:00,0.99,RÍO NEGRO (Punta Redonda)
2024-03-21 10:06:00-03:00,3.18,RÍO NEGRO (Punta Redonda)
2024-03-21 16:08:00-03:00,1.35,RÍO NEGRO (Punta Redonda)
2024-03-21 22:15:00-03:00,3.3,RÍO NEGRO (Punta Redonda)
2024-03-22 04:41:00-03:00,0.93,RÍO NEGRO (Punta Redonda)
2024-03-22 11:04:00-03:00,3.31,RÍO NEGRO (Punta Redonda)
2024-03-22 17:08:00-03:00,1.23,RÍO NEGRO (Punta Redonda)
2024-03-22 23:12:00-03:00,3.36,RÍO NEGRO (Punta Redonda)
2024-03-23 05:31:00-03:00,0.85,RÍO NEGRO (Punta Redonda)
2024-03-23 11:50:00-03:00,3.45,RÍO NEGRO (Punta Redonda)
2024-03-23 17:56:00-03:00,1.08,RÍO NEGRO (Punta Redonda)
2024-03-23 23:59:00-03:00,3.44,RÍO NEGRO (Punta Redonda)
2024-03-24 06:13:00-03:00,0.78,RÍO NEGRO (Punta Redonda)
2024-03-24 12:30:00-03:00,3.58,RÍO NEGRO (Punta Redonda)
2024-03-24 18:37:00-03:00,0.94,RÍO NEGRO (Punta Redonda)
2024-03-25 00:40:00-03:00,3.5,RÍO NEGRO (Punta Redonda)
2024-03-25 06:49:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
2024-03-25 13:04:00-03:00,3.69,RÍO NEGRO (Punta Redonda)
2024-03-25 19:14:00-03:00,0.82,RÍO NEGRO (Punta Redonda)
2024-03-26 01:16:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-03-26 07:22:00-03:00,0.71,RÍO NEGRO (Punta Redonda)
2024-03-26 13:35:00-03:00,3.78,RÍO NEGRO (Punta Redonda)
2024-03-26 19:47:00-03:00,0.73,RÍO NEGRO (Punta Redonda)
2024-03-27 01:50:00-03:00,3.57,RÍO NEGRO (Punta Redonda)
2024-03-27 07:53:00-03:00,0.7,RÍO NEGRO (Punta Redonda)
2024-03-27 14:06:00-03:00,3.84,RÍO NEGRO (Punta Redonda)
2024-03-27 20:20:00-03:00,0.66,RÍO NEGRO (Punta Redonda)
2024-03-28 02:24:00-03:00,3.56,RÍO NEGRO (Punta Redonda)
2024-03-28 08:24:00-03:00,0.72,RÍO NEGRO (Punta Redonda)
2024-03-28 14:37:00-03:00,3.88,RÍO NEGRO (Punta Redonda)
2024-03-28 20:54:00-03:00,0.63,RÍO NEGRO (Punta Redonda)
2024-03-29 02:58:00-03:00,3.54,RÍO NEGRO (Punta Redonda)
2024-03-29 08:57:00-03:00,0.77,RÍO NEGRO (Punta Redonda)
2024-03-29 15:10:00-03:00,3.88,RÍO NEGRO (Punta Redonda)
2024-03-29 21:30:00-03:00,0.63,RÍO NEGRO (Punta Redonda)
2024-03-30 03:35:00-03:00,3.48,RÍO NEGRO (Punta Redonda)
2024-03-30 09:33:00-03:00,0.84,RÍO NEGRO (Punta Redonda)
2024-03-30 15:47:00-03:00,3.83,RÍO NEGRO (Punta Redonda)
2024-03-30 22:09:00-03:00,0.67,RÍO NEGRO (Punta Redonda)
2024-03-31 04:17:00-03:00,3.4,RÍO NEGRO (Punta Redonda)
2024-03-31 10:14:00-03:00,0.95,RÍO NEGRO (Punta Redonda)
2024-03-31 16:29:00-03:00,3.74,RÍO NEGRO (Punta Redonda)
2024-03-31 22:55:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
