datetime,height,port
2024-04-01 05:05:00-03:00,3.31,RÍO NEGRO (Punta Redonda)
2024-04-01 11:02:00-03:00,1.07,RÍO NEGRO (Punta Redonda)
2024-04-01 17:18:00-03:00,3.62,RÍO NEGRO (Punta Redonda)
2024-04-01 23:47:00-03:00,0.82,RÍO NEGRO (Punta Redonda)
2024-04-02 06:02:00-03:00,3.23,RÍO NEGRO (Punta Redonda)
2024-04-02 12:01:00-03:00,1.2,RÍO NEGRO (Punta Redonda)
2024-04-02 18:16:00-03:00,3.49,RÍO NEGRO (Punta Redonda)
2024-04-03 00:49:00-03:00,0.89,RÍO NEGRO (Punta Redonda)
2024-04-03 07:09:00-03:00,3.21,RÍO NEGRO (Punta Redonda)
2024-04-03 13:11:00-03:00,1.26,RÍO NEGRO (Punta Redonda)
2024-04-03 19:25:00-03:00,3.41,RÍO NEGRO (Punta Redonda)
2024-04-04 01:57:00-03:00,0.89,RÍO NEGRO (Punta Redonda)
2024-04-04 08:21:00-03:00,3.29,RÍO NEGRO (Punta Redonda)
2024-04-04 14:27:00-03:00,1.22,RÍO NEGRO (Punta Redonda)
2024-04-04 20:38:00-03:00,3.43,RÍO NEGRO (Punta Redonda)
2024-04-05 03:05:00-03:00,0.8,RÍO NEGRO (Punta Redonda)
2024-04-05 09:29:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-04-05 15:38:00-03:00,1.05,RÍO NEGRO (Punta Redonda)
2024-04-05 21:46:00-03:00,3.53,RÍO NEGRO (Punta Redonda)
2024-04-06 04:07:00-03:00,0.66,RÍO NEGRO (Punta Redonda)
2024-04-06 10:29:00-03:00,3.7,RÍO NEGRO (Punta Redonda)
2024-04-06 16:40:00-03:00,0.81,RÍO NEGRO (Punta Redonda)
2024-04-06 22:47:00-03:00,3.69,RÍO NEGRO (Punta Redonda)
2024-04-07 05:02:00-03:00,0.49,RÍO NEGRO (Punta Redonda)
2024-04-07 11:21:00-03:00,3.95,RÍO NEGRO (Punta Redonda)
2024-04-07 17:34:00-03:00,0.56,RÍO NEGRO (Punta Redonda)
2024-04-07 23:41:00-03:00,3.86,RÍO NEGRO (Punta Redonda)
2024-04-08 05:51:00-03:00,0.35,RÍO NEGRO (Punta Redonda)
2024-04-08 12:08:00-03:00,4.17,RÍO NEGRO (Punta Redonda)
2024-04-08 18:23:00-03:00,0.34,RÍO NEGRO (Punta Redonda)
2024-04-09 00:30:00-03:00,3.99,RÍO NEGRO (Punta Redonda)
2024-04-09 06:37:00-03:00,0.26,RÍO NEGRO (Punta Redonda)
2024-04-09 12:53:00-03:00,4.32,RÍO NEGRO (Punta Redonda)
2024-04-09 19:09:00-03:00,0.18,RÍO NEGRO (Punta Redonda)
2024-04-10 01:17:00-03:00,4.05,RÍO NEGRO (Punta Redonda)
2024-04-10 07:22:00-03:00,0.24,RÍO NEGRO (Punta Redonda)
2024-04-10 13:36:00-03:00,4.38,RÍO NEGRO (Punta Redonda)
2024-04-10 19:54:00-03:00,0.11,RÍO NEGRO (Punta Redonda)
2024-04-11 02:02:00-03:00,4.04,RÍO NEGRO (Punta Redonda)
2024-04-11 08:05:00-03:00,0.3,RÍO NEGRO (Punta Redonda)
2024-04-11 14:19:00-03:00,4.36,RÍO NEGRO (Punta Redonda)
2024-04-11 20:38:00-03:00,0.12,RÍO NEGRO (Punta Redonda)
2024-04-12 02:48:00-03:00,3.95,RÍO NEGRO (Punta Redonda)
2024-04-12 08:49:00-03:00,0.44,RÍO NEGRO (Punta Redonda)
2024-04-12 15:02:00-03:00,4.25,RÍO NEGRO (Punta Redonda)
2024-04-12 21:24:00-03:00,0.21,RÍO NEGRO (Punta Redonda)
2024-04-13 03:35:00-03:00,3.81,RÍO NEGRO (Punta Redonda)
2024-04-13 09:35:00-03:00,0.63,RÍO NEGRO (Punta Redonda)
2024-04-13 15:46:00-03:00,4.06,RÍO NEGRO (Punta Redonda)
2024-04-13 22:11:00-03:00,0.37,RÍO NEGRO (Punta Redonda)
2024-04-14 04:25:00-03:00,3.62,RÍO NEGRO (Punta Redonda)
2024-04-14 10:23:00-03:00,0.87,RÍO NEGRO (Punta Redonda)
2024-04-14 16:34:00-03:00,3.83,RÍO NEGRO (Punta Redonda)
2024-04-14 23:02:00-03:00,0.57,RÍO NEGRO (Punta Redonda)
2024-04-15 05:19:00-03:00,3.43,RÍO NEGRO (Punta Redonda)
2024-04-15 11:17:00-03:00,1.11,RÍO NEGRO (Punta Redonda)
2024-04-15 17:27:00-03:00,3.58,RÍO NEGRO (Punta Redonda)
2024-04-15 23:58:00-03:00,0.77,RÍO NEGRO (Punta Redonda)
2024-04-16 06:21:00-03:00,3.27,RÍO NEGRO (Punta Redonda)
2024-04-16 12:19:00-03:00,1.31,RÍO NEGRO (Punta Redonda)
2024-04-16 18:27:00-03:00,3.35,RÍO NEGRO (Punta Redonda)
2024-04-17 01:00:00-03:00,0.92,RÍO NEGRO (Punta Redonda)
2024-04-17 07:29:00-03:00,3.19,RÍO NEGRO (Punta Redonda)
2024-04-17 13:31:00-03:00,1.42,RÍO NEGRO (Punta Redonda)
2024-04-17 19:36:00-03:00,3.2,RÍO NEGRO (Punta Redonda)
2024-04-18 02:06:00-03:00,1.01,RÍO NEGRO (Punta Redonda)
2024-04-18 08:37:00-03:00,3.2,RÍO NEGRO (Punta Redonda)
2024-04-18 14:43:00-03:00,1.41,RÍO NEGRO (Punta Redonda)
2024-04-18 20:45:00-03:00,3.14,RÍO NEGRO (Punta Redonda)
2024-04-19 03:09:00-03:00,1.03,RÍO NEGRO (Punta Redonda)
2024-04-19 09:37:00-03:00,3.29,RÍO NEGRO (Punta Redonda)
2024-04-19 15:48:00-03:00,1.31,RÍO NEGRO (Punta Redonda)
2024-04-19 21:48:00-03:00,3.16,RÍO NEGRO (Punta Redonda)
2024-04-20 04:03:00-03:00,1.0,RÍO NEGRO (Punta Redonda)
2024-04-20 10:27:00-03:00,3.41,RÍO NEGRO (Punta Redonda)
2024-04-20 16:40:00-03:00,1.17,RÍO NEGRO (Punta Redonda)
2024-04-20 22:40:00-03:00,3.22,RÍO NEGRO (Punta Redonda)
2024-04-21 04:49:00-03:00,0.96,RÍO NEGRO (Punta Redonda)
2024-04-21 11:09:00-03:00,3.54,RÍO NEGRO (Punta Redonda)
2024-04-21 17:24:00-03:00,1.01,RÍO NEGRO (Punta Redonda)
2024-04-21 23:25:00-03:00,3.3,RÍO NEGRO (Punta Redonda)
2024-04-22 05:28:00-03:00,0.91,RÍO NEGRO (Punta Redonda)
2024-04-22 11:45:00-03:00,3.66,RÍO NEGRO (Punta Redonda)
2024-04-22 18:02:00-03:00,0.87,RÍO NEGRO (Punta Redonda)
2024-04-23 00:04:00-03:00,3.37,RÍO NEGRO (Punta Redonda)
2024-04-23 06:04:00-03:00,0.88,RÍO NEGRO (Punta Redonda)
2024-04-23 12:19:00-03:00,3.76,RÍO NEGRO (Punta Redonda)
2024-04-23 18:37:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
2024-04-24 00:40:00-03:00,3.42,RÍO NEGRO (Punta Redonda)
2024-04-24 06:37:00-03:00,0.85,RÍO NEGRO (Punta Redonda)
2024-04-24 12:51:00-03:00,3.84,RÍO NEGRO (Punta Redonda)
2024-04-24 19:11:00-03:00,0.63,RÍO NEGRO (Punta Redonda)
2024-04-25 01:16:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-04-25 07:11:00-03:00,0.84,RÍO NEGRO (Punta Redonda)
2024-04-25 13:23:00-03:00,3.9,RÍO NEGRO (Punta Redonda)
2024-04-25 19:45:00-03:00,0.56,RÍO NEGRO (Punta Redonda)
2024-04-26 01:52:00-03:00,3.49,RÍO NEGRO (Punta Redonda)
2024-04-26 07:46:00-03:00,0.85,RÍO NEGRO (Punta Redonda)
2024-04-26 13:58:00-03:00,3.92,RÍO NEGRO (Punta Redonda)
2024-04-26 20:22:00-03:00,0.52,RÍO NEGRO (Punta Redonda)
2024-04-27 02:30:00-03:00,3.49,RÍO NEGRO (Punta Redonda)
2024-04-27 08:24:00-03:00,0.89,RÍO NEGRO (Punta Redonda)
2024-04-27 14:35:00-03:00,3.9,RÍO NEGRO (Punta Redonda)
2024-04-27 21:01:00-03:00,0.52,RÍO NEGRO (Punta Redonda)
2024-04-28 03:12:00-03:00,3.47,RÍO NEGRO (Punta Redonda)
2024-04-28 09:06:00-03:00,0.95,RÍO NEGRO (Punta Redonda)
2024-04-28 15:16:00-03:00,3.84,RÍO NEGRO (Punta Redonda)
2024-04-28 21:44:00-03:00,0.55,RÍO NEGRO (Punta Redonda)
2024-04-29 03:59:00-03:00,3.43,RÍO NEGRO (Punta Redonda)
2024-04-29 09:53:00-03:00,1.04,RÍO NEGRO (Punta Redonda)
2024-04-29 16:04:00-03:00,3.73,RÍO NEGRO (Punta Redonda)
2024-04-29 22:33:00-03:00,0.61,RÍO NEGRO (Punta Redonda)
2024-04-30 04:52:00-03:00,3.4,RÍO NEGRO (Punta Redonda)
2024-04-30 10:49:00-03:00,1.14,RÍO NEGRO (Punta Redonda)
2024-04-30 16:58:00-03:00,3.6,RÍO NEGRO (Punta Redonda)
2024-04-30 23:28:00-03:00,0.68,RÍO NEGRO (Punta Redonda)
