datetime,height,port
2024-06-01 01:07:00-03:00,0.53,RÍO NEGRO (Punta Redonda)
2024-06-01 07:35:00-03:00,3.86,RÍO NEGRO (Punta Redonda)
2024-06-01 13:51:00-03:00,0.85,RÍO NEGRO (Punta Redonda)
2024-06-01 19:52:00-03:00,3.53,RÍO NEGRO (Punta Redonda)
2024-06-02 02:04:00-03:00,0.54,RÍO NEGRO (Punta Redonda)
2024-06-02 08:31:00-03:00,3.98,RÍO NEGRO (Punta Redonda)
2024-06-02 14:51:00-03:00,0.7,RÍO NEGRO (Punta Redonda)
2024-06-02 20:53:00-03:00,3.55,RÍO NEGRO (Punta Redonda)
2024-06-03 03:00:00-03:00,0.54,RÍO NEGRO (Punta Redonda)
2024-06-03 09:25:00-03:00,4.09,RÍO NEGRO (Punta Redonda)
2024-06-03 15:48:00-03:00,0.55,RÍO NEGRO (Punta Redonda)
2024-06-03 21:52:00-03:00,3.59,RÍO NEGRO (Punta Redonda)
2024-06-04 03:54:00-03:00,0.56,RÍO NEGRO (Punta Redonda)
2024-06-04 10:16:00-03:00,4.17,RÍO NEGRO (Punta Redonda)
2024-06-04 16:42:00-03:00,0.41,RÍO NEGRO (Punta Redonda)
2024-06-04 22:48:00-03:00,3.62,RÍO NEGRO (Punta Redonda)
2024-06-05 04:47:00-03:00,0.59,RÍO NEGRO (Punta Redonda)
2024-06-05 11:06:00-03:00,4.22,RÍO NEGRO (Punta Redonda)
2024-06-05 17:33:00-03:00,0.31,RÍO NEGRO (Punta Redonda)
2024-06-05 23:42:00-03:00,3.64,RÍO NEGRO (Punta Redonda)
2024-06-06 05:38:00-03:00,0.65,RÍO NEGRO (Punta Redonda)
2024-06-06 11:55:00-03:00,4.21,RÍO NEGRO (Punta Redonda)
2024-06-06 18:24:00-03:00,0.25,RÍO NEGRO (Punta Redonda)
2024-06-07 00:35:00-03:00,3.65,RÍO NEGRO (Punta Redonda)
2024-06-07 06:30:00-03:00,0.74,RÍO NEGRO (Punta Redonda)
2024-06-07 12:43:00-03:00,4.15,RÍO NEGRO (Punta Redonda)
2024-06-07 19:13:00-03:00,0.25,RÍO NEGRO (Punta Redonda)
2024-06-08 01:28:00-03:00,3.63,RÍO NEGRO (Punta Redonda)
2024-06-08 07:21:00-03:00,0.84,RÍO NEGRO (Punta Redonda)
2024-06-08 13:31:00-03:00,4.05,RÍO NEGRO (Punta Redonda)
2024-06-08 20:02:00-03:00,0.28,RÍO NEGRO (Punta Redonda)
2024-06-09 02:19:00-03:00,3.6,RÍO NEGRO (Punta Redonda)
2024-06-09 08:12:00-03:00,0.96,RÍO NEGRO (Punta Redonda)
2024-06-09 14:19:00-03:00,3.92,RÍO NEGRO (Punta Redonda)
2024-06-09 20:50:00-03:00,0.36,RÍO NEGRO (Punta Redonda)
2024-06-10 03:11:00-03:00,3.56,RÍO NEGRO (Punta Redonda)
2024-06-10 09:04:00-03:00,1.07,RÍO NEGRO (Punta Redonda)
2024-06-10 15:08:00-03:00,3.76,RÍO NEGRO (Punta Redonda)
2024-06-10 21:38:00-03:00,0.46,RÍO NEGRO (Punta Redonda)
2024-06-11 04:02:00-03:00,3.52,RÍO NEGRO (Punta Redonda)
2024-06-11 09:57:00-03:00,1.17,RÍO NEGRO (Punta Redonda)
2024-06-11 15:58:00-03:00,3.59,RÍO NEGRO (Punta Redonda)
2024-06-11 22:26:00-03:00,0.57,RÍO NEGRO (Punta Redonda)
2024-06-12 04:53:00-03:00,3.48,RÍO NEGRO (Punta Redonda)
2024-06-12 10:51:00-03:00,1.25,RÍO NEGRO (Punta Redonda)
2024-06-12 16:48:00-03:00,3.42,RÍO NEGRO (Punta Redonda)
2024-06-12 23:14:00-03:00,0.69,RÍO NEGRO (Punta Redonda)
2024-06-13 05:43:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-06-13 11:46:00-03:00,1.29,RÍO NEGRO (Punta Redonda)
2024-06-13 17:40:00-03:00,3.27,RÍO NEGRO (Punta Redonda)
2024-06-14 00:00:00-03:00,0.81,RÍO NEGRO (Punta Redonda)
2024-06-14 06:31:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-06-14 12:39:00-03:00,1.3,RÍO NEGRO (Punta Redonda)
2024-06-14 18:31:00-03:00,3.15,RÍO NEGRO (Punta Redonda)
2024-06-15 00:46:00-03:00,0.92,RÍO NEGRO (Punta Redonda)
2024-06-15 07:17:00-03:00,3.47,RÍO NEGRO (Punta Redonda)
2024-06-15 13:31:00-03:00,1.28,RÍO NEGRO (Punta Redonda)
2024-06-15 19:23:00-03:00,3.06,RÍO NEGRO (Punta Redonda)
2024-06-16 01:31:00-03:00,1.01,RÍO NEGRO (Punta Redonda)
2024-06-16 08:01:00-03:00,3.5,RÍO NEGRO (Punta Redonda)
2024-06-16 14:21:00-03:00,1.22,RÍO NEGRO (Punta Redonda)
2024-06-16 20:14:00-03:00,3.01,RÍO NEGRO (Punta Redonda)
2024-06-17 02:14:00-03:00,1.08,RÍO NEGRO (Punta Redonda)
2024-06-17 08:43:00-03:00,3.54,RÍO NEGRO (Punta Redonda)
2024-06-17 15:09:00-03:00,1.14,RÍO NEGRO (Punta Redonda)
2024-06-17 21:04:00-03:00,2.99,RÍO NEGRO (Punta Redonda)
2024-06-18 02:58:00-03:00,1.12,RÍO NEGRO (Punta Redonda)
2024-06-18 09:25:00-03:00,3.59,RÍO NEGRO (Punta Redonda)
2024-06-18 15:55:00-03:00,1.04,RÍO NEGRO (Punta Redonda)
2024-06-18 21:53:00-03:00,3.0,RÍO NEGRO (Punta Redonda)
2024-06-19 03:43:00-03:00,1.15,RÍO NEGRO (Punta Redonda)
2024-06-19 10:07:00-03:00,3.65,RÍO NEGRO (Punta Redonda)
2024-06-19 16:39:00-03:00,0.92,RÍO NEGRO (Punta Redonda)
2024-06-19 22:41:00-03:00,3.05,RÍO NEGRO (Punta Redonda)
2024-06-20 04:29:00-03:00,1.16,RÍO NEGRO (Punta Redonda)
2024-06-20 10:50:00-03:00,3.72,RÍO NEGRO (Punta Redonda)
2024-06-20 17:24:00-03:00,0.8,RÍO NEGRO (Punta Redonda)
2024-06-20 23:30:00-03:00,3.12,RÍO NEGRO (Punta Redonda)
2024-06-21 05:16:00-03:00,1.14,RÍO NEGRO (Punta Redonda)
2024-06-21 11:34:00-03:00,3.78,RÍO NEGRO (Punta Redonda)
2024-06-21 18:08:00-03:00,0.68,RÍO NEGRO (Punta Redonda)
2024-06-22 00:19:00-03:00,3.22,RÍO NEGRO (Punta Redonda)
2024-06-22 06:05:00-03:00,1.12,RÍO NEGRO (Punta Redonda)
2024-06-22 12:20:00-03:00,3.82,RÍO NEGRO (Punta Redonda)
2024-06-22 18:54:00-03:00,0.56,RÍO NEGRO (Punta Redonda)
2024-06-23 01:08:00-03:00,3.33,RÍO NEGRO (Punta Redonda)
2024-06-23 06:56:00-03:00,1.08,RÍO NEGRO (Punta Redonda)
2024-06-23 13:07:00-03:00,3.86,RÍO NEGRO (Punta Redonda)
