datetime,height,port
2024-07-01 01:29:00-03:00,0.51,RÍO NEGRO (Punta Redonda)
2024-07-01 07:56:00-03:00,4.08,RÍO NEGRO (Punta Redonda)
2024-07-01 14:19:00-03:00,0.63,RÍO NEGRO (Punta Redonda)
2024-07-01 20:21:00-03:00,3.5,RÍO NEGRO (Punta Redonda)
2024-07-02 02:25:00-03:00,0.62,RÍO NEGRO (Punta Redonda)
2024-07-02 08:50:00-03:00,4.07,RÍO NEGRO (Punta Redonda)
2024-07-02 15:17:00-03:00,0.58,RÍO NEGRO (Punta Redonda)
2024-07-02 21:22:00-03:00,3.45,RÍO NEGRO (Punta Redonda)
2024-07-03 03:21:00-03:00,0.73,RÍO NEGRO (Punta Redonda)
2024-07-03 09:44:00-03:00,4.06,RÍO NEGRO (Punta Redonda)
2024-07-03 16:15:00-03:00,0.53,RÍO NEGRO (Punta Redonda)
2024-07-03 22:23:00-03:00,3.42,RÍO NEGRO (Punta Redonda)
2024-07-04 04:19:00-03:00,0.83,RÍO NEGRO (Punta Redonda)
2024-07-04 10:39:00-03:00,4.02,RÍO NEGRO (Punta Redonda)
2024-07-04 17:12:00-03:00,0.48,RÍO NEGRO (Punta Redonda)
2024-07-04 23:24:00-03:00,3.43,RÍO NEGRO (Punta Redonda)
2024-07-05 05:17:00-03:00,0.92,RÍO NEGRO (Punta Redonda)
2024-07-05 11:33:00-03:00,3.98,RÍO NEGRO (Punta Redonda)
2024-07-05 18:07:00-03:00,0.43,RÍO NEGRO (Punta Redonda)
2024-07-06 00:22:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-07-06 06:14:00-03:00,0.98,RÍO NEGRO (Punta Redonda)
2024-07-06 12:27:00-03:00,3.93,RÍO NEGRO (Punta Redonda)
2024-07-06 19:00:00-03:00,0.4,RÍO NEGRO (Punta Redonda)
2024-07-07 01:18:00-03:00,3.5,RÍO NEGRO (Punta Redonda)
2024-07-07 07:10:00-03:00,1.02,RÍO NEGRO (Punta Redonda)
2024-07-07 13:18:00-03:00,3.87,RÍO NEGRO (Punta Redonda)
2024-07-07 19:50:00-03:00,0.39,RÍO NEGRO (Punta Redonda)
2024-07-08 02:10:00-03:00,3.54,RÍO NEGRO (Punta Redonda)
2024-07-08 08:03:00-03:00,1.05,RÍO NEGRO (Punta Redonda)
2024-07-08 14:07:00-03:00,3.79,RÍO NEGRO (Punta Redonda)
2024-07-08 20:36:00-03:00,0.41,RÍO NEGRO (Punta Redonda)
