datetime,height,port
2024-08-01 02:54:00-03:00,0.96,RÍO NEGRO (Punta Redonda)
2024-08-01 09:17:00-03:00,3.82,RÍO NEGRO (Punta Redonda)
2024-08-01 15:52:00-03:00,0.7,RÍO NEGRO (Punta Redonda)
2024-08-01 22:05:00-03:00,3.26,RÍO NEGRO (Punta Redonda)
2024-08-02 04:00:00-03:00,1.08,RÍO NEGRO (Punta Redonda)
2024-08-02 10:19:00-03:00,3.76,RÍO NEGRO (Punta Redonda)
2024-08-02 16:55:00-03:00,0.66,RÍO NEGRO (Punta Redonda)
2024-08-02 23:12:00-03:00,3.3,RÍO NEGRO (Punta Redonda)
2024-08-03 05:05:00-03:00,1.12,RÍO NEGRO (Punta Redonda)
2024-08-03 11:20:00-03:00,3.74,RÍO NEGRO (Punta Redonda)
2024-08-03 17:54:00-03:00,0.6,RÍO NEGRO (Punta Redonda)
2024-08-04 00:12:00-03:00,3.39,RÍO NEGRO (Punta Redonda)
2024-08-04 06:07:00-03:00,1.1,RÍO NEGRO (Punta Redonda)
2024-08-04 12:16:00-03:00,3.74,RÍO NEGRO (Punta Redonda)
2024-08-04 18:46:00-03:00,0.53,RÍO NEGRO (Punta Redonda)
2024-08-05 01:06:00-03:00,3.5,RÍO NEGRO (Punta Redonda)
2024-08-05 07:02:00-03:00,1.05,RÍO NEGRO (Punta Redonda)
2024-08-05 13:07:00-03:00,3.74,RÍO NEGRO (Punta Redonda)
2024-08-05 19:33:00-03:00,0.48,RÍO NEGRO (Punta Redonda)
2024-08-06 01:53:00-03:00,3.6,RÍO NEGRO (Punta Redonda)
2024-08-06 07:51:00-03:00,0.99,RÍO NEGRO (Punta Redonda)
2024-08-06 13:53:00-03:00,3.73,RÍO NEGRO (Punta Redonda)
2024-08-06 20:15:00-03:00,0.47,RÍO NEGRO (Punta Redonda)
2024-08-07 02:35:00-03:00,3.67,RÍO NEGRO (Punta Redonda)
2024-08-07 08:35:00-03:00,0.95,RÍO NEGRO (Punta Redonda)
2024-08-07 14:35:00-03:00,3.69,RÍO NEGRO (Punta Redonda)
2024-08-07 20:54:00-03:00,0.5,RÍO NEGRO (Punta Redonda)
2024-08-08 03:13:00-03:00,3.72,RÍO NEGRO (Punta Redonda)
2024-08-08 09:15:00-03:00,0.92,RÍO NEGRO (Punta Redonda)
2024-08-08 15:15:00-03:00,3.62,RÍO NEGRO (Punta Redonda)
2024-08-08 21:29:00-03:00,0.56,RÍO NEGRO (Punta Redonda)
2024-08-09 03:48:00-03:00,3.73,RÍO NEGRO (Punta Redonda)
2024-08-09 09:54:00-03:00,0.93,RÍO NEGRO (Punta Redonda)
2024-08-09 15:52:00-03:00,3.52,RÍO NEGRO (Punta Redonda)
2024-08-09 22:02:00-03:00,0.65,RÍO NEGRO (Punta Redonda)
2024-08-10 04:22:00-03:00,3.71,RÍO NEGRO (Punta Redonda)
2024-08-10 10:31:00-03:00,0.95,RÍO NEGRO (Punta Redonda)
2024-08-10 16:28:00-03:00,3.41,RÍO NEGRO (Punta Redonda)
2024-08-10 22:35:00-03:00,0.76,RÍO NEGRO (Punta Redonda)
2024-08-11 04:56:00-03:00,3.68,RÍO NEGRO (Punta Redonda)
2024-08-11 11:09:00-03:00,0.99,RÍO NEGRO (Punta Redonda)
2024-08-11 17:06:00-03:00,3.29,RÍO NEGRO (Punta Redonda)
2024-08-11 23:09:00-03:00,0.88,RÍO NEGRO (Punta Redonda)
2024-08-12 05:31:00-03:00,3.64,RÍO NEGRO (Punta Redonda)
2024-08-12 11:49:00-03:00,1.03,RÍO NEGRO (Punta Redonda)
2024-08-12 17:46:00-03:00,3.16,RÍO NEGRO (Punta Redonda)
