datetime,height,port
2024-09-01 04:59:00-03:00,1.18,RÍO NEGRO (Punta Redonda)
2024-09-01 11:08:00-03:00,3.54,RÍO NEGRO (Punta Redonda)
2024-09-01 17:36:00-03:00,0.71,RÍO NEGRO (Punta Redonda)
2024-09-01 23:56:00-03:00,3.45,RÍO NEGRO (Punta Redonda)
2024-09-02 05:57:00-03:00,1.08,RÍO NEGRO (Punta Redonda)
2024-09-02 12:03:00-03:00,3.6,RÍO NEGRO (Punta Redonda)
2024-09-02 18:25:00-03:00,0.63,RÍO NEGRO (Punta Redonda)
2024-09-03 00:43:00-03:00,3.58,RÍO NEGRO (Punta Redonda)
2024-09-03 06:46:00-03:00,0.96,RÍO NEGRO (Punta Redonda)
2024-09-03 12:50:00-03:00,3.64,RÍO NEGRO (Punta Redonda)
2024-09-03 19:07:00-03:00,0.58,RÍO NEGRO (Punta Redonda)
2024-09-04 01:24:00-03:00,3.69,RÍO NEGRO (Punta Redonda)
2024-09-04 07:29:00-03:00,0.86,RÍO NEGRO (Punta Redonda)
2024-09-04 13:31:00-03:00,3.67,RÍO NEGRO (Punta Redonda)
2024-09-04 19:44:00-03:00,0.57,RÍO NEGRO (Punta Redonda)
2024-09-05 02:00:00-03:00,3.77,RÍO NEGRO (Punta Redonda)
2024-09-05 08:07:00-03:00,0.79,RÍO NEGRO (Punta Redonda)
2024-09-05 14:09:00-03:00,3.65,RÍO NEGRO (Punta Redonda)
2024-09-05 20:18:00-03:00,0.59,RÍO NEGRO (Punta Redonda)
2024-09-06 02:33:00-03:00,3.81,RÍO NEGRO (Punta Redonda)
2024-09-06 08:42:00-03:00,0.75,RÍO NEGRO (Punta Redonda)
2024-09-06 14:43:00-03:00,3.6,RÍO NEGRO (Punta Redonda)
2024-09-06 20:50:00-03:00,0.65,RÍO NEGRO (Punta Redonda)
2024-09-07 03:04:00-03:00,3.81,RÍO NEGRO (Punta Redonda)
2024-09-07 09:16:00-03:00,0.75,RÍO NEGRO (Punta Redonda)
2024-09-07 15:17:00-03:00,3.53,RÍO NEGRO (Punta Redonda)
2024-09-07 21:21:00-03:00,0.73,RÍO NEGRO (Punta Redonda)
2024-09-08 03:35:00-03:00,3.79,RÍO NEGRO (Punta Redonda)
2024-09-08 09:50:00-03:00,0.78,RÍO NEGRO (Punta Redonda)
2024-09-08 15:51:00-03:00,3.44,RÍO NEGRO (Punta Redonda)
2024-09-08 21:52:00-03:00,0.83,RÍO NEGRO (Punta Redonda)
2024-09-09 04:08:00-03:00,3.74,RÍO NEGRO (Punta Redonda)
2024-09-09 10:26:00-03:00,0.83,RÍO NEGRO (Punta Redonda)
2024-09-09 16:28:00-03:00,3.33,RÍO NEGRO (Punta Redonda)
2024-09-09 22:27:00-03:00,0.94,RÍO NEGRO (Punta Redonda)
2024-09-10 04:44:00-03:00,3.67,RÍO NEGRO (Punta Redonda)
2024-09-10 11:06:00-03:00,0.9,RÍO NEGRO (Punta Redonda)
2024-09-10 17:09:00-03:00,3.21,RÍO NEGRO (Punta Redonda)
2024-09-10 23:07:00-03:00,1.08,RÍO NEGRO (Punta Redonda)
2024-09-11 05:25:00-03:00,3.57,RÍO NEGRO (Punta Redonda)
2024-09-11 11:52:00-03:00,0.98,RÍO NEGRO (Punta Redonda)
2024-09-11 17:59:00-03:00,3.1,RÍO NEGRO (Punta Redonda)
2024-09-11 23:55:00-03:00,1.22,RÍO NEGRO (Punta Redonda)
2024-09-12 06:15:00-03:00,3.46,RÍO NEGRO (Punta Redonda)
2024-09-12 12:47:00-03:00,1.05,RÍO NEGRO (Punta Redonda)
2024-09-12 18:59:00-03:00,3.02,RÍO NEGRO (Punta Redonda)
2024-09-13 00:54:00-03:00,1.33,RÍO NEGRO (Punta Redonda)
2024-09-13 07:15:00-03:00,3.37,RÍO NEGRO (Punta Redonda)
2024-09-13 13:51:00-03:00,1.07,RÍO NEGRO (Punta Redonda)
2024-09-13 20:09:00-03:00,3.02,RÍO NEGRO (Punta Redonda)
2024-09-14 02:07:00-03:00,1.37,RÍO NEGRO (Punta Redonda)
2024-09-14 08:25:00-03:00,3.34,RÍO NEGRO (Punta Redonda)
2024-09-14 15:00:00-03:00,1.01,RÍO NEGRO (Punta Redonda)
2024-09-14 21:21:00-03:00,3.14,RÍO NEGRO (Punta Redonda)
2024-09-15 03:22:00-03:00,1.29,RÍO NEGRO (Punta Redonda)
2024-09-15 09:35:00-03:00,3.41,RÍO NEGRO (Punta Redonda)
2024-09-15 16:05:00-03:00,0.86,RÍO NEGRO (Punta Redonda)
2024-09-15 22:26:00-03:00,3.36,RÍO NEGRO (Punta Redonda)
2024-09-16 04:30:00-03:00,1.1,RÍO NEGRO (Punta Redonda)
2024-09-16 10:39:00-03:00,3.56,RÍO NEGRO (Punta Redonda)
2024-09-16 17:02:00-03:00,0.66,RÍO NEGRO (Punta Redonda)
2024-09-16 23:21:00-03:00,3.63,RÍO NEGRO (Punta Redonda)
2024-09-17 05:28:00-03:00,0.85,RÍO NEGRO (Punta Redonda)
2024-09-17 11:35:00-03:00,3.74,RÍO NEGRO (Punta Redonda)
2024-09-17 17:52:00-03:00,0.46,RÍO NEGRO (Punta Redonda)
2024-09-18 00:10:00-03:00,3.9,RÍO NEGRO (Punta Redonda)
2024-09-18 06:19:00-03:00,0.59,RÍO NEGRO (Punta Redonda)
2024-09-18 12:26:00-03:00,3.92,RÍO NEGRO (Punta Redonda)
2024-09-18 18:39:00-03:00,0.3,RÍO NEGRO (Punta Redonda)
2024-09-19 00:55:00-03:00,4.13,RÍO NEGRO (Punta Redonda)
2024-09-19 07:06:00-03:00,0.37,RÍO NEGRO (Punta Redonda)
2024-09-19 13:13:00-03:00,4.04,RÍO NEGRO (Punta Redonda)
2024-09-19 19:23:00-03:00,0.19,RÍO NEGRO (Punta Redonda)
2024-09-20 01:38:00-03:00,4.29,RÍO NEGRO (Punta Redonda)
2024-09-20 07:52:00-03:00,0.22,RÍO NEGRO (Punta Redonda)
2024-09-20 13:58:00-03:00,4.1,RÍO NEGRO (Punta Redonda)
2024-09-20 20:06:00-03:00,0.16,RÍO NEGRO (Punta Redonda)
2024-09-21 02:21:00-03:00,4.37,RÍO NEGRO (Punta Redonda)
2024-09-21 08:36:00-03:00,0.15,RÍO NEGRO (Punta Redonda)
2024-09-21 14:43:00-03:00,4.08,RÍO NEGRO (Punta Redonda)
2024-09-21 20:49:00-03:00,0.21,RÍO NEGRO (Punta Redonda)
2024-09-22 03:03:00-03:00,4.36,RÍO NEGRO (Punta Redonda)
2024-09-22 09:21:00-03:00,0.16,RÍO NEGRO (Punta Redonda)
2024-09-22 15:29:00-03:00,3.99,RÍO NEGRO (Punta Redonda)
2024-09-22 21:33:00-03:00,0.35,RÍO NEGRO (Punta Redonda)
2024-09-23 03:47:00-03:00,4.26,RÍO NEGRO (Punta Redonda)
2024-09-23 10:07:00-03:00,0.26,RÍO NEGRO (Punta Redonda)
2024-09-23 16:17:00-03:00,3.82,RÍO NEGRO (Punta Redonda)
2024-09-23 22:19:00-03:00,0.55,RÍO NEGRO (Punta Redonda)
2024-09-24 04:34:00-03:00,4.08,RÍO NEGRO (Punta Redonda)
2024-09-24 10:57:00-03:00,0.42,RÍO NEGRO (Punta Redonda)
2024-09-24 17:09:00-03:00,3.62,RÍO NEGRO (Punta Redonda)
2024-09-24 23:10:00-03:00,0.8,RÍO NEGRO (Punta Redonda)
2024-09-25 05:25:00-03:00,3.86,RÍO NEGRO (Punta Redonda)
2024-09-25 11:52:00-03:00,0.61,RÍO NEGRO (Punta Redonda)
2024-09-25 18:07:00-03:00,3.42,RÍO NEGRO (Punta Redonda)
2024-09-26 00:07:00-03:00,1.04,RÍO NEGRO (Punta Redonda)
2024-09-26 06:22:00-03:00,3.63,RÍO NEGRO (Punta Redonda)
