datetime,height,port
2024-01-01 00:56:00-03:00,0.95,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-01 06:51:00-03:00,0.54,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-01 14:14:00-03:00,1.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-01 20:39:00-03:00,0.75,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-02 01:28:00-03:00,0.94,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-02 07:28:00-03:00,0.54,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-02 14:55:00-03:00,1.45,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-02 21:16:00-03:00,0.77,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-03 02:10:00-03:00,0.95,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-03 08:06:00-03:00,0.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-03 15:35:00-03:00,1.41,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-03 21:52:00-03:00,0.78,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-04 02:57:00-03:00,0.97,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-04 08:47:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-04 16:14:00-03:00,1.38,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-04 22:27:00-03:00,0.78,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-05 03:46:00-03:00,1.0,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-05 09:32:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-05 16:54:00-03:00,1.36,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-05 23:03:00-03:00,0.78,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-06 04:34:00-03:00,1.04,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-01-06 10:23:00-03:00,0.61,SAN CLEMENTE DEL TUYÚ (Muelle)
