datetime,height,port
2024-11-01 04:20:00-03:00,0.68,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-01 09:53:00-03:00,1.08,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-01 16:00:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-01 22:33:00-03:00,1.28,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-02 04:40:00-03:00,0.69,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-02 10:20:00-03:00,1.16,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-02 16:36:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-02 23:00:00-03:00,1.26,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-03 05:00:00-03:00,0.69,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-03 10:47:00-03:00,1.23,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-03 17:11:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-03 23:25:00-03:00,1.23,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-04 05:21:00-03:00,0.68,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-04 11:14:00-03:00,1.3,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-04 17:48:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-04 23:49:00-03:00,1.19,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-05 05:45:00-03:00,0.66,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-05 11:43:00-03:00,1.36,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-05 18:26:00-03:00,0.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-06 00:11:00-03:00,1.14,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-06 06:12:00-03:00,0.63,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-06 12:17:00-03:00,1.41,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-06 19:09:00-03:00,0.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-07 00:35:00-03:00,1.08,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-07 06:44:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-07 12:59:00-03:00,1.45,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-07 19:56:00-03:00,0.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-08 01:06:00-03:00,1.01,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-08 07:20:00-03:00,0.54,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-08 13:51:00-03:00,1.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-08 20:49:00-03:00,0.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-09 01:47:00-03:00,0.96,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-09 08:04:00-03:00,0.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-09 14:53:00-03:00,1.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-09 21:48:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-10 02:43:00-03:00,0.92,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-10 08:57:00-03:00,0.44,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-10 16:03:00-03:00,1.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-10 22:53:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-11 03:53:00-03:00,0.91,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-11 10:00:00-03:00,0.4,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-11 17:15:00-03:00,1.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-11-12 00:00:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
