datetime,height,port
2024-02-01 01:27:00-03:00,1.04,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-01 07:40:00-03:00,0.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-01 14:50:00-03:00,1.39,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-01 20:48:00-03:00,0.77,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-02 02:02:00-03:00,1.08,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-02 08:18:00-03:00,0.54,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-02 15:24:00-03:00,1.36,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-02 21:18:00-03:00,0.77,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-03 02:41:00-03:00,1.12,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-03 09:01:00-03:00,0.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-03 15:59:00-03:00,1.33,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-03 21:50:00-03:00,0.77,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-04 03:26:00-03:00,1.17,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-04 09:50:00-03:00,0.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-04 16:39:00-03:00,1.29,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-04 22:28:00-03:00,0.76,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-05 04:18:00-03:00,1.24,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-05 10:48:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-05 17:23:00-03:00,1.24,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-05 23:12:00-03:00,0.74,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-06 05:17:00-03:00,1.31,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-06 11:56:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-06 18:12:00-03:00,1.2,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-07 00:03:00-03:00,0.7,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-07 06:20:00-03:00,1.39,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-07 13:10:00-03:00,0.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-07 19:05:00-03:00,1.15,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-08 01:01:00-03:00,0.63,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-08 07:25:00-03:00,1.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-02-08 14:23:00-03:00,0.52,SAN CLEMENTE DEL TUYÚ (Muelle)
