datetime,height,port
2024-04-01 01:19:00-03:00,1.4,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-01 08:23:00-03:00,0.47,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-01 14:26:00-03:00,1.15,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-01 20:13:00-03:00,0.68,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-02 02:09:00-03:00,1.44,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-02 09:15:00-03:00,0.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-02 15:09:00-03:00,1.08,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-02 20:55:00-03:00,0.64,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-03 03:11:00-03:00,1.46,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-03 10:17:00-03:00,0.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-03 16:04:00-03:00,1.02,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-03 21:48:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-04 04:25:00-03:00,1.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-04 11:28:00-03:00,0.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-04 17:09:00-03:00,0.99,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-04 22:53:00-03:00,0.54,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-05 05:44:00-03:00,1.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-05 12:44:00-03:00,0.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-05 18:17:00-03:00,0.99,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-06 00:08:00-03:00,0.47,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-06 07:02:00-03:00,1.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-06 13:55:00-03:00,0.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-06 19:21:00-03:00,1.04,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-07 01:25:00-03:00,0.37,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-07 08:16:00-03:00,1.61,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-07 14:56:00-03:00,0.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-07 20:22:00-03:00,1.12,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-08 02:36:00-03:00,0.26,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-08 09:25:00-03:00,1.66,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-04-08 15:49:00-03:00,0.47,SAN CLEMENTE DEL TUYÚ (Muelle)
