datetime,height,port
2024-05-01 02:00:00-03:00,1.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-01 09:10:00-03:00,0.43,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-01 14:50:00-03:00,0.98,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-01 20:35:00-03:00,0.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-02 03:09:00-03:00,1.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-02 10:12:00-03:00,0.46,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-02 15:51:00-03:00,0.94,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-02 21:35:00-03:00,0.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-03 04:27:00-03:00,1.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-03 11:21:00-03:00,0.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-03 16:58:00-03:00,0.95,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-03 22:45:00-03:00,0.43,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-04 05:46:00-03:00,1.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-04 12:30:00-03:00,0.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-04 18:03:00-03:00,1.0,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-05 00:02:00-03:00,0.37,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-05 07:01:00-03:00,1.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-05 13:35:00-03:00,0.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-05 19:04:00-03:00,1.09,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-06 01:18:00-03:00,0.28,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-06 08:11:00-03:00,1.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-06 14:31:00-03:00,0.52,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-06 20:01:00-03:00,1.21,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-07 02:28:00-03:00,0.2,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-07 09:17:00-03:00,1.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-07 15:22:00-03:00,0.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-07 20:56:00-03:00,1.33,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-08 03:31:00-03:00,0.14,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-08 10:18:00-03:00,1.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-08 16:09:00-03:00,0.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-08 21:50:00-03:00,1.45,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-09 04:31:00-03:00,0.12,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-09 11:17:00-03:00,1.47,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-09 16:53:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-09 22:43:00-03:00,1.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-10 05:28:00-03:00,0.13,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-10 12:13:00-03:00,1.39,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-10 17:36:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-10 23:36:00-03:00,1.6,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-11 06:23:00-03:00,0.19,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-11 13:06:00-03:00,1.29,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-11 18:18:00-03:00,0.6,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-12 00:31:00-03:00,1.62,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-05-12 07:18:00-03:00,0.27,SAN CLEMENTE DEL TUYÚ (Muelle)
