datetime,height,port
2024-06-01 04:36:00-03:00,1.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-01 11:07:00-03:00,0.47,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-01 16:47:00-03:00,0.99,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-01 22:43:00-03:00,0.31,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-02 05:49:00-03:00,1.47,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-02 12:09:00-03:00,0.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-02 17:46:00-03:00,1.07,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-02 23:58:00-03:00,0.27,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-03 06:58:00-03:00,1.45,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-03 13:08:00-03:00,0.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-03 18:44:00-03:00,1.17,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-04 01:12:00-03:00,0.22,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-04 08:05:00-03:00,1.42,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-04 14:02:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-04 19:41:00-03:00,1.29,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-05 02:21:00-03:00,0.18,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-05 09:08:00-03:00,1.37,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-05 14:52:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-05 20:36:00-03:00,1.4,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-06 03:25:00-03:00,0.17,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-06 10:09:00-03:00,1.31,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-06 15:38:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-06 21:32:00-03:00,1.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-07 04:25:00-03:00,0.18,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-07 11:07:00-03:00,1.23,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-07 16:23:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-07 22:27:00-03:00,1.54,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-08 05:21:00-03:00,0.22,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-08 12:00:00-03:00,1.15,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-08 17:06:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-08 23:23:00-03:00,1.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-06-09 06:16:00-03:00,0.28,SAN CLEMENTE DEL TUYÚ (Muelle)
