datetime,height,port
2024-07-01 05:46:00-03:00,1.41,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-01 11:42:00-03:00,0.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-01 17:27:00-03:00,1.17,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-01 23:53:00-03:00,0.21,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-02 06:52:00-03:00,1.33,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-02 12:37:00-03:00,0.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-02 18:25:00-03:00,1.26,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-03 01:07:00-03:00,0.21,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-03 07:58:00-03:00,1.25,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-03 13:31:00-03:00,0.62,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-03 19:24:00-03:00,1.34,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-04 02:18:00-03:00,0.22,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-04 09:03:00-03:00,1.17,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-04 14:23:00-03:00,0.62,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-04 20:24:00-03:00,1.41,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-05 03:23:00-03:00,0.24,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-05 10:05:00-03:00,1.09,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-05 15:11:00-03:00,0.6,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-05 21:24:00-03:00,1.45,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-06 04:24:00-03:00,0.27,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-06 11:02:00-03:00,1.02,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-06 15:58:00-03:00,0.57,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-06 22:24:00-03:00,1.47,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-07 05:19:00-03:00,0.31,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-07 11:51:00-03:00,0.95,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-07 16:42:00-03:00,0.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-07 23:22:00-03:00,1.47,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-08 06:10:00-03:00,0.36,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-08 12:32:00-03:00,0.9,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-08 17:26:00-03:00,0.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-09 00:17:00-03:00,1.44,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-09 06:56:00-03:00,0.42,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-09 13:04:00-03:00,0.87,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-09 18:08:00-03:00,0.46,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-10 01:08:00-03:00,1.39,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-10 07:38:00-03:00,0.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-10 13:31:00-03:00,0.87,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-10 18:50:00-03:00,0.44,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-11 01:56:00-03:00,1.33,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-11 08:16:00-03:00,0.53,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-11 13:59:00-03:00,0.88,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-11 19:32:00-03:00,0.43,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-12 02:40:00-03:00,1.27,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-12 08:50:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-12 14:31:00-03:00,0.91,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-12 20:14:00-03:00,0.44,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-13 03:21:00-03:00,1.21,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-13 09:22:00-03:00,0.61,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-13 15:07:00-03:00,0.94,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-13 20:57:00-03:00,0.46,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-14 04:02:00-03:00,1.15,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-14 09:52:00-03:00,0.63,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-14 15:46:00-03:00,0.97,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-14 21:42:00-03:00,0.48,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-15 04:43:00-03:00,1.11,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-15 10:24:00-03:00,0.65,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-15 16:26:00-03:00,1.01,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-15 22:31:00-03:00,0.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-16 05:26:00-03:00,1.07,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-16 10:59:00-03:00,0.66,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-16 17:08:00-03:00,1.06,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-16 23:27:00-03:00,0.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-17 06:10:00-03:00,1.04,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-17 11:38:00-03:00,0.66,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-17 17:51:00-03:00,1.12,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-18 00:27:00-03:00,0.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-18 06:55:00-03:00,1.01,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-18 12:23:00-03:00,0.66,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-18 18:37:00-03:00,1.18,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-19 01:30:00-03:00,0.46,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-19 07:43:00-03:00,0.99,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-19 13:12:00-03:00,0.63,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-19 19:27:00-03:00,1.26,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-20 02:31:00-03:00,0.41,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-20 08:31:00-03:00,0.96,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-20 14:04:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-20 20:19:00-03:00,1.34,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-21 03:28:00-03:00,0.35,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-21 09:20:00-03:00,0.94,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-21 14:57:00-03:00,0.51,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-21 21:15:00-03:00,1.42,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-22 04:22:00-03:00,0.3,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-22 10:09:00-03:00,0.94,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-22 15:50:00-03:00,0.42,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-22 22:14:00-03:00,1.49,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-23 05:14:00-03:00,0.26,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-23 10:58:00-03:00,0.94,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-23 16:44:00-03:00,0.33,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-23 23:16:00-03:00,1.55,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-24 06:05:00-03:00,0.25,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-24 11:47:00-03:00,0.96,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-24 17:37:00-03:00,0.24,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-25 00:19:00-03:00,1.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-25 06:55:00-03:00,0.26,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-25 12:36:00-03:00,1.0,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-25 18:32:00-03:00,0.16,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-26 01:22:00-03:00,1.59,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-26 07:45:00-03:00,0.3,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-26 13:27:00-03:00,1.05,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-26 19:28:00-03:00,0.11,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-27 02:26:00-03:00,1.56,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-27 08:35:00-03:00,0.37,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-27 14:19:00-03:00,1.1,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-27 20:26:00-03:00,0.1,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-28 03:29:00-03:00,1.5,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-28 09:25:00-03:00,0.44,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-28 15:14:00-03:00,1.17,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-28 21:28:00-03:00,0.12,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-29 04:33:00-03:00,1.42,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-29 10:16:00-03:00,0.52,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-29 16:10:00-03:00,1.23,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-29 22:35:00-03:00,0.16,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-30 05:37:00-03:00,1.31,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-30 11:09:00-03:00,0.58,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-30 17:10:00-03:00,1.28,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-30 23:48:00-03:00,0.22,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-31 06:43:00-03:00,1.19,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-31 12:04:00-03:00,0.62,SAN CLEMENTE DEL TUYÚ (Muelle)
2024-07-31 18:12:00-03:00,1.33,SAN CLEMENTE DEL TUYÚ (Muelle)
