datetime,height,port
2024-10-01 00:55:00-03:00,0.58,SAN FERNANDO
2024-10-01 07:27:00-03:00,1.28,SAN FERNANDO
2024-10-01 15:50:00-03:00,0.42,SAN FERNANDO
2024-10-01 20:16:00-03:00,0.7,SAN FERNANDO
2024-10-02 02:05:00-03:00,0.54,SAN FERNANDO
2024-10-02 08:15:00-03:00,1.23,SAN FERNANDO
2024-10-02 16:14:00-03:00,0.42,SAN FERNANDO
2024-10-02 20:53:00-03:00,0.75,SAN FERNANDO
2024-10-03 03:01:00-03:00,0.51,SAN FERNANDO
2024-10-03 08:59:00-03:00,1.18,SAN FERNANDO
2024-10-03 16:31:00-03:00,0.43,SAN FERNANDO
2024-10-03 21:26:00-03:00,0.81,SAN FERNANDO
2024-10-04 03:48:00-03:00,0.49,SAN FERNANDO
2024-10-04 09:39:00-03:00,1.13,SAN FERNANDO
2024-10-04 16:47:00-03:00,0.44,SAN FERNANDO
2024-10-04 21:56:00-03:00,0.89,SAN FERNANDO
2024-10-05 04:30:00-03:00,0.49,SAN FERNANDO
2024-10-05 10:16:00-03:00,1.09,SAN FERNANDO
2024-10-05 17:06:00-03:00,0.45,SAN FERNANDO
2024-10-05 22:22:00-03:00,0.97,SAN FERNANDO
2024-10-06 05:09:00-03:00,0.51,SAN FERNANDO
2024-10-06 10:47:00-03:00,1.05,SAN FERNANDO
2024-10-06 17:28:00-03:00,0.47,SAN FERNANDO
2024-10-06 22:44:00-03:00,1.06,SAN FERNANDO
2024-10-07 05:47:00-03:00,0.53,SAN FERNANDO
2024-10-07 11:09:00-03:00,1.01,SAN FERNANDO
2024-10-07 17:53:00-03:00,0.49,SAN FERNANDO
2024-10-07 23:07:00-03:00,1.15,SAN FERNANDO
2024-10-08 06:26:00-03:00,0.55,SAN FERNANDO
2024-10-08 11:20:00-03:00,0.97,SAN FERNANDO
2024-10-08 18:21:00-03:00,0.51,SAN FERNANDO
2024-10-08 23:36:00-03:00,1.24,SAN FERNANDO
2024-10-09 07:08:00-03:00,0.58,SAN FERNANDO
2024-10-09 11:33:00-03:00,0.93,SAN FERNANDO
2024-10-09 18:49:00-03:00,0.53,SAN FERNANDO
2024-10-10 00:11:00-03:00,1.32,SAN FERNANDO
2024-10-10 07:55:00-03:00,0.6,SAN FERNANDO
2024-10-10 11:57:00-03:00,0.89,SAN FERNANDO
2024-10-10 19:16:00-03:00,0.54,SAN FERNANDO
2024-10-11 00:53:00-03:00,1.37,SAN FERNANDO
2024-10-11 08:48:00-03:00,0.61,SAN FERNANDO
2024-10-11 12:30:00-03:00,0.83,SAN FERNANDO
2024-10-11 19:41:00-03:00,0.53,SAN FERNANDO
2024-10-12 01:44:00-03:00,1.4,SAN FERNANDO
2024-10-12 09:50:00-03:00,0.61,SAN FERNANDO
2024-10-12 13:11:00-03:00,0.76,SAN FERNANDO
2024-10-12 20:08:00-03:00,0.51,SAN FERNANDO
