datetime,height,port
2024-11-01 02:09:00-03:00,0.56,SAN FERNANDO
2024-11-01 08:29:00-03:00,1.19,SAN FERNANDO
2024-11-01 15:49:00-03:00,0.45,SAN FERNANDO
2024-11-01 21:01:00-03:00,0.9,SAN FERNANDO
2024-11-02 03:06:00-03:00,0.58,SAN FERNANDO
2024-11-02 09:05:00-03:00,1.14,SAN FERNANDO
2024-11-02 16:06:00-03:00,0.46,SAN FERNANDO
2024-11-02 21:31:00-03:00,1.0,SAN FERNANDO
2024-11-03 03:55:00-03:00,0.61,SAN FERNANDO
2024-11-03 09:35:00-03:00,1.09,SAN FERNANDO
2024-11-03 16:28:00-03:00,0.47,SAN FERNANDO
2024-11-03 21:58:00-03:00,1.1,SAN FERNANDO
2024-11-04 04:42:00-03:00,0.64,SAN FERNANDO
2024-11-04 09:53:00-03:00,1.03,SAN FERNANDO
2024-11-04 16:54:00-03:00,0.48,SAN FERNANDO
2024-11-04 22:22:00-03:00,1.2,SAN FERNANDO
2024-11-05 05:27:00-03:00,0.67,SAN FERNANDO
2024-11-05 09:57:00-03:00,0.98,SAN FERNANDO
2024-11-05 17:21:00-03:00,0.49,SAN FERNANDO
2024-11-05 22:49:00-03:00,1.29,SAN FERNANDO
2024-11-06 06:13:00-03:00,0.68,SAN FERNANDO
2024-11-06 10:08:00-03:00,0.94,SAN FERNANDO
2024-11-06 17:50:00-03:00,0.49,SAN FERNANDO
2024-11-06 23:21:00-03:00,1.37,SAN FERNANDO
2024-11-07 07:02:00-03:00,0.69,SAN FERNANDO
2024-11-07 10:32:00-03:00,0.9,SAN FERNANDO
2024-11-07 18:19:00-03:00,0.48,SAN FERNANDO
2024-11-08 00:00:00-03:00,1.43,SAN FERNANDO
2024-11-08 07:55:00-03:00,0.68,SAN FERNANDO
2024-11-08 11:04:00-03:00,0.84,SAN FERNANDO
2024-11-08 18:47:00-03:00,0.46,SAN FERNANDO
2024-11-09 00:45:00-03:00,1.46,SAN FERNANDO
2024-11-09 08:53:00-03:00,0.65,SAN FERNANDO
2024-11-09 11:43:00-03:00,0.77,SAN FERNANDO
2024-11-09 19:17:00-03:00,0.43,SAN FERNANDO
2024-11-10 01:38:00-03:00,1.47,SAN FERNANDO
2024-11-10 09:56:00-03:00,0.62,SAN FERNANDO
2024-11-10 12:31:00-03:00,0.7,SAN FERNANDO
2024-11-10 19:53:00-03:00,0.4,SAN FERNANDO
2024-11-11 02:38:00-03:00,1.47,SAN FERNANDO
2024-11-11 11:04:00-03:00,0.57,SAN FERNANDO
2024-11-11 13:37:00-03:00,0.64,SAN FERNANDO
2024-11-11 20:42:00-03:00,0.37,SAN FERNANDO
