datetime,height,port
2024-12-01 02:13:00-03:00,0.68,SAN FERNANDO
2024-12-01 08:19:00-03:00,1.12,SAN FERNANDO
2024-12-01 15:24:00-03:00,0.47,SAN FERNANDO
2024-12-01 21:05:00-03:00,1.08,SAN FERNANDO
2024-12-02 03:20:00-03:00,0.73,SAN FERNANDO
2024-12-02 08:36:00-03:00,1.06,SAN FERNANDO
2024-12-02 15:51:00-03:00,0.47,SAN FERNANDO
2024-12-02 21:35:00-03:00,1.19,SAN FERNANDO
2024-12-03 04:20:00-03:00,0.76,SAN FERNANDO
2024-12-03 08:38:00-03:00,1.0,SAN FERNANDO
2024-12-03 16:21:00-03:00,0.46,SAN FERNANDO
2024-12-03 22:04:00-03:00,1.28,SAN FERNANDO
2024-12-04 05:15:00-03:00,0.76,SAN FERNANDO
2024-12-04 08:49:00-03:00,0.95,SAN FERNANDO
2024-12-04 16:52:00-03:00,0.44,SAN FERNANDO
2024-12-04 22:37:00-03:00,1.37,SAN FERNANDO
2024-12-05 06:09:00-03:00,0.75,SAN FERNANDO
2024-12-05 09:14:00-03:00,0.9,SAN FERNANDO
2024-12-05 17:25:00-03:00,0.41,SAN FERNANDO
2024-12-05 23:14:00-03:00,1.43,SAN FERNANDO
2024-12-06 07:03:00-03:00,0.72,SAN FERNANDO
2024-12-06 09:48:00-03:00,0.84,SAN FERNANDO
2024-12-06 17:58:00-03:00,0.37,SAN FERNANDO
2024-12-06 23:56:00-03:00,1.47,SAN FERNANDO
2024-12-07 07:57:00-03:00,0.68,SAN FERNANDO
2024-12-07 10:29:00-03:00,0.78,SAN FERNANDO
2024-12-07 18:34:00-03:00,0.33,SAN FERNANDO
2024-12-08 00:45:00-03:00,1.49,SAN FERNANDO
2024-12-08 08:52:00-03:00,0.63,SAN FERNANDO
2024-12-08 11:17:00-03:00,0.72,SAN FERNANDO
2024-12-08 19:13:00-03:00,0.3,SAN FERNANDO
2024-12-09 01:39:00-03:00,1.5,SAN FERNANDO
2024-12-09 09:48:00-03:00,0.59,SAN FERNANDO
2024-12-09 12:15:00-03:00,0.67,SAN FERNANDO
2024-12-09 19:58:00-03:00,0.29,SAN FERNANDO
2024-12-10 02:38:00-03:00,1.49,SAN FERNANDO
2024-12-10 10:44:00-03:00,0.55,SAN FERNANDO
2024-12-10 13:31:00-03:00,0.64,SAN FERNANDO
2024-12-10 20:50:00-03:00,0.3,SAN FERNANDO
2024-12-11 03:40:00-03:00,1.48,SAN FERNANDO
2024-12-11 11:39:00-03:00,0.52,SAN FERNANDO
2024-12-11 15:21:00-03:00,0.67,SAN FERNANDO
2024-12-11 21:49:00-03:00,0.34,SAN FERNANDO
2024-12-12 04:42:00-03:00,1.46,SAN FERNANDO
2024-12-12 12:31:00-03:00,0.49,SAN FERNANDO
2024-12-12 17:01:00-03:00,0.78,SAN FERNANDO
2024-12-12 22:57:00-03:00,0.4,SAN FERNANDO
