datetime,height,port
2024-02-01 01:08:00-03:00,1.33,SAN FERNANDO
2024-02-01 08:11:00-03:00,0.65,SAN FERNANDO
2024-02-01 10:41:00-03:00,0.72,SAN FERNANDO
2024-02-01 18:45:00-03:00,0.28,SAN FERNANDO
2024-02-02 01:49:00-03:00,1.32,SAN FERNANDO
2024-02-02 08:41:00-03:00,0.64,SAN FERNANDO
2024-02-02 11:29:00-03:00,0.75,SAN FERNANDO
2024-02-02 19:18:00-03:00,0.31,SAN FERNANDO
2024-02-03 02:26:00-03:00,1.3,SAN FERNANDO
2024-02-03 09:15:00-03:00,0.64,SAN FERNANDO
2024-02-03 12:22:00-03:00,0.79,SAN FERNANDO
2024-02-03 19:55:00-03:00,0.37,SAN FERNANDO
2024-02-04 02:59:00-03:00,1.28,SAN FERNANDO
2024-02-04 09:52:00-03:00,0.65,SAN FERNANDO
2024-02-04 13:23:00-03:00,0.84,SAN FERNANDO
2024-02-04 20:35:00-03:00,0.44,SAN FERNANDO
2024-02-05 03:28:00-03:00,1.25,SAN FERNANDO
2024-02-05 10:32:00-03:00,0.66,SAN FERNANDO
2024-02-05 14:35:00-03:00,0.9,SAN FERNANDO
2024-02-05 21:21:00-03:00,0.54,SAN FERNANDO
2024-02-06 03:57:00-03:00,1.21,SAN FERNANDO
2024-02-06 11:14:00-03:00,0.65,SAN FERNANDO
2024-02-06 16:05:00-03:00,0.98,SAN FERNANDO
2024-02-06 22:18:00-03:00,0.63,SAN FERNANDO
2024-02-07 04:32:00-03:00,1.16,SAN FERNANDO
2024-02-07 11:59:00-03:00,0.63,SAN FERNANDO
2024-02-07 17:33:00-03:00,1.09,SAN FERNANDO
2024-02-07 23:40:00-03:00,0.73,SAN FERNANDO
2024-02-08 05:13:00-03:00,1.1,SAN FERNANDO
2024-02-08 12:51:00-03:00,0.57,SAN FERNANDO
2024-02-08 18:45:00-03:00,1.21,SAN FERNANDO
2024-02-09 01:40:00-03:00,0.78,SAN FERNANDO
2024-02-09 05:59:00-03:00,1.04,SAN FERNANDO
2024-02-09 13:46:00-03:00,0.49,SAN FERNANDO
2024-02-09 19:48:00-03:00,1.32,SAN FERNANDO
2024-02-10 03:12:00-03:00,0.77,SAN FERNANDO
2024-02-10 06:49:00-03:00,0.97,SAN FERNANDO
2024-02-10 14:43:00-03:00,0.39,SAN FERNANDO
2024-02-10 20:48:00-03:00,1.42,SAN FERNANDO
2024-02-11 04:23:00-03:00,0.72,SAN FERNANDO
2024-02-11 07:42:00-03:00,0.91,SAN FERNANDO
2024-02-11 15:38:00-03:00,0.28,SAN FERNANDO
2024-02-11 21:46:00-03:00,1.5,SAN FERNANDO
2024-02-12 05:22:00-03:00,0.67,SAN FERNANDO
2024-02-12 08:36:00-03:00,0.87,SAN FERNANDO
2024-02-12 16:32:00-03:00,0.19,SAN FERNANDO
2024-02-12 22:44:00-03:00,1.54,SAN FERNANDO
2024-02-13 06:14:00-03:00,0.62,SAN FERNANDO
2024-02-13 09:31:00-03:00,0.86,SAN FERNANDO
2024-02-13 17:25:00-03:00,0.12,SAN FERNANDO
2024-02-13 23:42:00-03:00,1.56,SAN FERNANDO
2024-02-14 07:02:00-03:00,0.59,SAN FERNANDO
2024-02-14 10:27:00-03:00,0.86,SAN FERNANDO
2024-02-14 18:17:00-03:00,0.1,SAN FERNANDO
2024-02-15 00:39:00-03:00,1.54,SAN FERNANDO
2024-02-15 07:49:00-03:00,0.58,SAN FERNANDO
2024-02-15 11:27:00-03:00,0.88,SAN FERNANDO
2024-02-15 19:10:00-03:00,0.14,SAN FERNANDO
2024-02-16 01:36:00-03:00,1.5,SAN FERNANDO
2024-02-16 08:36:00-03:00,0.59,SAN FERNANDO
2024-02-16 12:32:00-03:00,0.91,SAN FERNANDO
2024-02-16 20:03:00-03:00,0.22,SAN FERNANDO
2024-02-17 02:32:00-03:00,1.44,SAN FERNANDO
2024-02-17 09:22:00-03:00,0.6,SAN FERNANDO
2024-02-17 13:48:00-03:00,0.96,SAN FERNANDO
2024-02-17 20:59:00-03:00,0.35,SAN FERNANDO
2024-02-18 03:26:00-03:00,1.36,SAN FERNANDO
2024-02-18 10:09:00-03:00,0.62,SAN FERNANDO
