datetime,height,port
2024-03-01 00:39:00-03:00,1.26,SAN FERNANDO
2024-03-01 07:13:00-03:00,0.65,SAN FERNANDO
2024-03-01 10:50:00-03:00,0.9,SAN FERNANDO
2024-03-01 18:30:00-03:00,0.35,SAN FERNANDO
2024-03-02 01:08:00-03:00,1.24,SAN FERNANDO
2024-03-02 07:44:00-03:00,0.66,SAN FERNANDO
2024-03-02 11:32:00-03:00,0.96,SAN FERNANDO
2024-03-02 19:04:00-03:00,0.39,SAN FERNANDO
2024-03-03 01:31:00-03:00,1.22,SAN FERNANDO
2024-03-03 08:18:00-03:00,0.68,SAN FERNANDO
2024-03-03 12:18:00-03:00,1.03,SAN FERNANDO
2024-03-03 19:41:00-03:00,0.45,SAN FERNANDO
2024-03-04 01:52:00-03:00,1.2,SAN FERNANDO
2024-03-04 08:52:00-03:00,0.69,SAN FERNANDO
2024-03-04 13:10:00-03:00,1.08,SAN FERNANDO
2024-03-04 20:23:00-03:00,0.52,SAN FERNANDO
2024-03-05 02:19:00-03:00,1.17,SAN FERNANDO
2024-03-05 09:29:00-03:00,0.68,SAN FERNANDO
2024-03-05 14:11:00-03:00,1.13,SAN FERNANDO
2024-03-05 21:14:00-03:00,0.6,SAN FERNANDO
2024-03-06 02:56:00-03:00,1.12,SAN FERNANDO
2024-03-06 10:09:00-03:00,0.66,SAN FERNANDO
2024-03-06 15:26:00-03:00,1.17,SAN FERNANDO
2024-03-06 22:23:00-03:00,0.68,SAN FERNANDO
2024-03-07 03:42:00-03:00,1.06,SAN FERNANDO
2024-03-07 10:56:00-03:00,0.61,SAN FERNANDO
2024-03-07 16:53:00-03:00,1.22,SAN FERNANDO
2024-03-08 00:05:00-03:00,0.74,SAN FERNANDO
2024-03-08 04:39:00-03:00,0.99,SAN FERNANDO
2024-03-08 11:56:00-03:00,0.54,SAN FERNANDO
2024-03-08 18:16:00-03:00,1.29,SAN FERNANDO
2024-03-09 01:47:00-03:00,0.74,SAN FERNANDO
2024-03-09 05:42:00-03:00,0.94,SAN FERNANDO
2024-03-09 13:08:00-03:00,0.44,SAN FERNANDO
2024-03-09 19:28:00-03:00,1.36,SAN FERNANDO
2024-03-10 03:04:00-03:00,0.7,SAN FERNANDO
2024-03-10 06:45:00-03:00,0.91,SAN FERNANDO
2024-03-10 14:17:00-03:00,0.34,SAN FERNANDO
2024-03-10 20:32:00-03:00,1.42,SAN FERNANDO
2024-03-11 04:04:00-03:00,0.65,SAN FERNANDO
2024-03-11 07:43:00-03:00,0.91,SAN FERNANDO
2024-03-11 15:20:00-03:00,0.23,SAN FERNANDO
2024-03-11 21:33:00-03:00,1.47,SAN FERNANDO
2024-03-12 04:55:00-03:00,0.61,SAN FERNANDO
2024-03-12 08:39:00-03:00,0.94,SAN FERNANDO
2024-03-12 16:18:00-03:00,0.15,SAN FERNANDO
2024-03-12 22:31:00-03:00,1.49,SAN FERNANDO
2024-03-13 05:42:00-03:00,0.6,SAN FERNANDO
2024-03-13 09:32:00-03:00,0.99,SAN FERNANDO
2024-03-13 17:13:00-03:00,0.12,SAN FERNANDO
2024-03-13 23:27:00-03:00,1.48,SAN FERNANDO
2024-03-14 06:26:00-03:00,0.6,SAN FERNANDO
2024-03-14 10:26:00-03:00,1.04,SAN FERNANDO
2024-03-14 18:07:00-03:00,0.13,SAN FERNANDO
2024-03-15 00:23:00-03:00,1.44,SAN FERNANDO
2024-03-15 07:09:00-03:00,0.62,SAN FERNANDO
2024-03-15 11:20:00-03:00,1.1,SAN FERNANDO
2024-03-15 19:01:00-03:00,0.2,SAN FERNANDO
2024-03-16 01:18:00-03:00,1.38,SAN FERNANDO
2024-03-16 07:51:00-03:00,0.64,SAN FERNANDO
2024-03-16 12:18:00-03:00,1.15,SAN FERNANDO
2024-03-16 19:56:00-03:00,0.31,SAN FERNANDO
2024-03-17 02:13:00-03:00,1.29,SAN FERNANDO
2024-03-17 08:34:00-03:00,0.67,SAN FERNANDO
2024-03-17 13:21:00-03:00,1.19,SAN FERNANDO
2024-03-17 20:54:00-03:00,0.44,SAN FERNANDO
2024-03-18 03:08:00-03:00,1.2,SAN FERNANDO
2024-03-18 09:16:00-03:00,0.68,SAN FERNANDO
2024-03-18 14:34:00-03:00,1.21,SAN FERNANDO
2024-03-18 22:01:00-03:00,0.58,SAN FERNANDO
2024-03-19 04:02:00-03:00,1.1,SAN FERNANDO
2024-03-19 10:01:00-03:00,0.67,SAN FERNANDO
2024-03-19 15:55:00-03:00,1.23,SAN FERNANDO
2024-03-19 23:23:00-03:00,0.68,SAN FERNANDO
2024-03-20 04:53:00-03:00,1.01,SAN FERNANDO
2024-03-20 10:49:00-03:00,0.65,SAN FERNANDO
2024-03-20 17:11:00-03:00,1.24,SAN FERNANDO
2024-03-21 01:08:00-03:00,0.72,SAN FERNANDO
2024-03-21 05:43:00-03:00,0.93,SAN FERNANDO
2024-03-21 11:43:00-03:00,0.61,SAN FERNANDO
2024-03-21 18:19:00-03:00,1.25,SAN FERNANDO
2024-03-22 02:40:00-03:00,0.71,SAN FERNANDO
2024-03-22 06:29:00-03:00,0.87,SAN FERNANDO
2024-03-22 12:42:00-03:00,0.55,SAN FERNANDO
2024-03-22 19:19:00-03:00,1.25,SAN FERNANDO
2024-03-23 03:38:00-03:00,0.69,SAN FERNANDO
2024-03-23 07:12:00-03:00,0.83,SAN FERNANDO
2024-03-23 13:39:00-03:00,0.49,SAN FERNANDO
2024-03-23 20:12:00-03:00,1.25,SAN FERNANDO
2024-03-24 04:16:00-03:00,0.67,SAN FERNANDO
2024-03-24 07:52:00-03:00,0.81,SAN FERNANDO
2024-03-24 14:30:00-03:00,0.43,SAN FERNANDO
2024-03-24 21:00:00-03:00,1.23,SAN FERNANDO
2024-03-25 04:38:00-03:00,0.66,SAN FERNANDO
2024-03-25 08:27:00-03:00,0.81,SAN FERNANDO
2024-03-25 15:15:00-03:00,0.38,SAN FERNANDO
2024-03-25 21:44:00-03:00,1.22,SAN FERNANDO
