datetime,height,port
2024-07-01 03:18:00-03:00,0.8,SAN FERNANDO
2024-07-01 10:07:00-03:00,0.23,SAN FERNANDO
2024-07-01 16:09:00-03:00,1.11,SAN FERNANDO
2024-07-01 23:12:00-03:00,0.45,SAN FERNANDO
2024-07-02 04:27:00-03:00,0.91,SAN FERNANDO
2024-07-02 11:12:00-03:00,0.25,SAN FERNANDO
2024-07-02 17:15:00-03:00,1.07,SAN FERNANDO
2024-07-03 00:06:00-03:00,0.49,SAN FERNANDO
2024-07-03 05:25:00-03:00,1.03,SAN FERNANDO
2024-07-03 12:22:00-03:00,0.29,SAN FERNANDO
2024-07-03 18:16:00-03:00,1.02,SAN FERNANDO
2024-07-04 01:01:00-03:00,0.53,SAN FERNANDO
2024-07-04 06:18:00-03:00,1.14,SAN FERNANDO
2024-07-04 13:34:00-03:00,0.33,SAN FERNANDO
2024-07-04 19:13:00-03:00,0.97,SAN FERNANDO
2024-07-05 01:54:00-03:00,0.56,SAN FERNANDO
2024-07-05 07:09:00-03:00,1.24,SAN FERNANDO
2024-07-05 14:45:00-03:00,0.35,SAN FERNANDO
2024-07-05 20:06:00-03:00,0.92,SAN FERNANDO
2024-07-06 02:44:00-03:00,0.57,SAN FERNANDO
2024-07-06 07:58:00-03:00,1.3,SAN FERNANDO
2024-07-06 15:49:00-03:00,0.37,SAN FERNANDO
2024-07-06 20:56:00-03:00,0.86,SAN FERNANDO
2024-07-07 03:32:00-03:00,0.57,SAN FERNANDO
2024-07-07 08:46:00-03:00,1.32,SAN FERNANDO
2024-07-07 16:48:00-03:00,0.39,SAN FERNANDO
2024-07-07 21:45:00-03:00,0.79,SAN FERNANDO
2024-07-08 04:17:00-03:00,0.54,SAN FERNANDO
2024-07-08 09:33:00-03:00,1.32,SAN FERNANDO
2024-07-08 17:41:00-03:00,0.4,SAN FERNANDO
2024-07-08 22:31:00-03:00,0.73,SAN FERNANDO
2024-07-09 04:59:00-03:00,0.5,SAN FERNANDO
2024-07-09 10:21:00-03:00,1.28,SAN FERNANDO
2024-07-09 18:28:00-03:00,0.41,SAN FERNANDO
2024-07-09 23:16:00-03:00,0.67,SAN FERNANDO
2024-07-10 05:39:00-03:00,0.45,SAN FERNANDO
2024-07-10 11:09:00-03:00,1.23,SAN FERNANDO
2024-07-10 19:10:00-03:00,0.42,SAN FERNANDO
2024-07-11 00:01:00-03:00,0.63,SAN FERNANDO
2024-07-11 06:18:00-03:00,0.4,SAN FERNANDO
2024-07-11 11:59:00-03:00,1.16,SAN FERNANDO
2024-07-11 19:45:00-03:00,0.43,SAN FERNANDO
2024-07-12 00:46:00-03:00,0.6,SAN FERNANDO
2024-07-12 06:55:00-03:00,0.35,SAN FERNANDO
2024-07-12 12:51:00-03:00,1.1,SAN FERNANDO
2024-07-12 20:15:00-03:00,0.44,SAN FERNANDO
2024-07-13 01:32:00-03:00,0.6,SAN FERNANDO
2024-07-13 07:34:00-03:00,0.32,SAN FERNANDO
2024-07-13 13:46:00-03:00,1.04,SAN FERNANDO
2024-07-13 20:43:00-03:00,0.46,SAN FERNANDO
2024-07-14 02:20:00-03:00,0.62,SAN FERNANDO
2024-07-14 08:14:00-03:00,0.3,SAN FERNANDO
2024-07-14 14:43:00-03:00,0.99,SAN FERNANDO
2024-07-14 21:13:00-03:00,0.48,SAN FERNANDO
2024-07-15 03:04:00-03:00,0.67,SAN FERNANDO
2024-07-15 08:57:00-03:00,0.31,SAN FERNANDO
2024-07-15 15:42:00-03:00,0.95,SAN FERNANDO
2024-07-15 21:46:00-03:00,0.51,SAN FERNANDO
2024-07-16 03:45:00-03:00,0.74,SAN FERNANDO
2024-07-16 09:43:00-03:00,0.33,SAN FERNANDO
2024-07-16 16:39:00-03:00,0.92,SAN FERNANDO
2024-07-16 22:22:00-03:00,0.55,SAN FERNANDO
2024-07-17 04:26:00-03:00,0.83,SAN FERNANDO
2024-07-17 10:35:00-03:00,0.37,SAN FERNANDO
2024-07-17 17:32:00-03:00,0.89,SAN FERNANDO
2024-07-17 23:02:00-03:00,0.58,SAN FERNANDO
2024-07-18 05:08:00-03:00,0.93,SAN FERNANDO
2024-07-18 11:34:00-03:00,0.42,SAN FERNANDO
2024-07-18 18:18:00-03:00,0.85,SAN FERNANDO
2024-07-18 23:45:00-03:00,0.61,SAN FERNANDO
2024-07-19 05:52:00-03:00,1.03,SAN FERNANDO
2024-07-19 12:44:00-03:00,0.45,SAN FERNANDO
2024-07-19 18:55:00-03:00,0.8,SAN FERNANDO
2024-07-20 00:34:00-03:00,0.61,SAN FERNANDO
2024-07-20 06:38:00-03:00,1.13,SAN FERNANDO
2024-07-20 14:00:00-03:00,0.47,SAN FERNANDO
2024-07-20 19:20:00-03:00,0.75,SAN FERNANDO
2024-07-21 01:33:00-03:00,0.59,SAN FERNANDO
2024-07-21 07:26:00-03:00,1.21,SAN FERNANDO
2024-07-21 15:09:00-03:00,0.45,SAN FERNANDO
2024-07-21 19:42:00-03:00,0.71,SAN FERNANDO
2024-07-22 02:34:00-03:00,0.55,SAN FERNANDO
2024-07-22 08:16:00-03:00,1.28,SAN FERNANDO
2024-07-22 16:10:00-03:00,0.42,SAN FERNANDO
2024-07-22 20:16:00-03:00,0.68,SAN FERNANDO
2024-07-23 03:32:00-03:00,0.47,SAN FERNANDO
2024-07-23 09:06:00-03:00,1.32,SAN FERNANDO
2024-07-23 17:03:00-03:00,0.39,SAN FERNANDO
2024-07-23 20:57:00-03:00,0.67,SAN FERNANDO
2024-07-24 04:28:00-03:00,0.38,SAN FERNANDO
2024-07-24 09:59:00-03:00,1.33,SAN FERNANDO
2024-07-24 17:52:00-03:00,0.36,SAN FERNANDO
2024-07-24 21:45:00-03:00,0.67,SAN FERNANDO
2024-07-25 05:22:00-03:00,0.29,SAN FERNANDO
2024-07-25 10:53:00-03:00,1.32,SAN FERNANDO
2024-07-25 18:39:00-03:00,0.34,SAN FERNANDO
2024-07-25 22:36:00-03:00,0.7,SAN FERNANDO
2024-07-26 06:15:00-03:00,0.22,SAN FERNANDO
2024-07-26 11:49:00-03:00,1.28,SAN FERNANDO
2024-07-26 19:24:00-03:00,0.34,SAN FERNANDO
2024-07-26 23:32:00-03:00,0.74,SAN FERNANDO
2024-07-27 07:09:00-03:00,0.17,SAN FERNANDO
2024-07-27 12:48:00-03:00,1.23,SAN FERNANDO
2024-07-27 20:09:00-03:00,0.36,SAN FERNANDO
2024-07-28 00:34:00-03:00,0.81,SAN FERNANDO
2024-07-28 08:04:00-03:00,0.16,SAN FERNANDO
2024-07-28 13:50:00-03:00,1.17,SAN FERNANDO
2024-07-28 20:55:00-03:00,0.4,SAN FERNANDO
2024-07-29 01:42:00-03:00,0.89,SAN FERNANDO
2024-07-29 09:02:00-03:00,0.19,SAN FERNANDO
2024-07-29 14:55:00-03:00,1.1,SAN FERNANDO
2024-07-29 21:41:00-03:00,0.45,SAN FERNANDO
2024-07-30 02:53:00-03:00,0.99,SAN FERNANDO
2024-07-30 10:03:00-03:00,0.24,SAN FERNANDO
2024-07-30 16:01:00-03:00,1.03,SAN FERNANDO
2024-07-30 22:29:00-03:00,0.51,SAN FERNANDO
2024-07-31 04:02:00-03:00,1.08,SAN FERNANDO
2024-07-31 11:10:00-03:00,0.31,SAN FERNANDO
2024-07-31 17:04:00-03:00,0.97,SAN FERNANDO
2024-07-31 23:21:00-03:00,0.56,SAN FERNANDO
