datetime,height,port
2024-01-01 00:32:00-03:00,0.87,SANTA TERESITA
2024-01-01 05:58:00-03:00,0.49,SANTA TERESITA
2024-01-01 13:22:00-03:00,1.45,SANTA TERESITA
2024-01-01 20:08:00-03:00,0.68,SANTA TERESITA
2024-01-02 01:11:00-03:00,0.88,SANTA TERESITA
2024-01-02 06:35:00-03:00,0.5,SANTA TERESITA
2024-01-02 14:03:00-03:00,1.42,SANTA TERESITA
2024-01-02 20:41:00-03:00,0.71,SANTA TERESITA
2024-01-03 01:56:00-03:00,0.9,SANTA TERESITA
2024-01-03 07:15:00-03:00,0.51,SANTA TERESITA
2024-01-03 14:44:00-03:00,1.39,SANTA TERESITA
2024-01-03 21:15:00-03:00,0.72,SANTA TERESITA
2024-01-04 02:45:00-03:00,0.93,SANTA TERESITA
2024-01-04 07:58:00-03:00,0.52,SANTA TERESITA
2024-01-04 15:28:00-03:00,1.37,SANTA TERESITA
2024-01-04 21:50:00-03:00,0.74,SANTA TERESITA
2024-01-05 03:33:00-03:00,0.97,SANTA TERESITA
2024-01-05 08:46:00-03:00,0.53,SANTA TERESITA
2024-01-05 16:13:00-03:00,1.33,SANTA TERESITA
2024-01-05 22:26:00-03:00,0.75,SANTA TERESITA
2024-01-06 04:22:00-03:00,1.04,SANTA TERESITA
2024-01-06 09:41:00-03:00,0.55,SANTA TERESITA
2024-01-06 16:59:00-03:00,1.29,SANTA TERESITA
2024-01-06 23:03:00-03:00,0.74,SANTA TERESITA
2024-01-07 05:10:00-03:00,1.12,SANTA TERESITA
2024-01-07 10:45:00-03:00,0.56,SANTA TERESITA
2024-01-07 17:44:00-03:00,1.24,SANTA TERESITA
2024-01-07 23:43:00-03:00,0.73,SANTA TERESITA
2024-01-08 05:59:00-03:00,1.21,SANTA TERESITA
2024-01-08 12:01:00-03:00,0.56,SANTA TERESITA
2024-01-08 18:29:00-03:00,1.2,SANTA TERESITA
2024-01-09 00:28:00-03:00,0.69,SANTA TERESITA
2024-01-09 06:48:00-03:00,1.31,SANTA TERESITA
2024-01-09 13:20:00-03:00,0.54,SANTA TERESITA
2024-01-09 19:15:00-03:00,1.16,SANTA TERESITA
2024-01-10 01:16:00-03:00,0.64,SANTA TERESITA
2024-01-10 07:38:00-03:00,1.42,SANTA TERESITA
2024-01-10 14:29:00-03:00,0.49,SANTA TERESITA
2024-01-10 20:02:00-03:00,1.13,SANTA TERESITA
2024-01-11 02:06:00-03:00,0.58,SANTA TERESITA
2024-01-11 08:30:00-03:00,1.53,SANTA TERESITA
2024-01-11 15:28:00-03:00,0.44,SANTA TERESITA
2024-01-11 20:51:00-03:00,1.11,SANTA TERESITA
2024-01-12 02:57:00-03:00,0.51,SANTA TERESITA
2024-01-12 09:23:00-03:00,1.63,SANTA TERESITA
2024-01-12 16:23:00-03:00,0.38,SANTA TERESITA
2024-01-12 21:42:00-03:00,1.09,SANTA TERESITA
2024-01-13 03:46:00-03:00,0.43,SANTA TERESITA
2024-01-13 10:18:00-03:00,1.72,SANTA TERESITA
2024-01-13 17:16:00-03:00,0.34,SANTA TERESITA
2024-01-13 22:36:00-03:00,1.07,SANTA TERESITA
2024-01-14 04:36:00-03:00,0.36,SANTA TERESITA
2024-01-14 11:17:00-03:00,1.8,SANTA TERESITA
2024-01-14 18:08:00-03:00,0.32,SANTA TERESITA
2024-01-14 23:32:00-03:00,1.05,SANTA TERESITA
2024-01-15 05:26:00-03:00,0.3,SANTA TERESITA
2024-01-15 12:18:00-03:00,1.85,SANTA TERESITA
2024-01-15 19:00:00-03:00,0.34,SANTA TERESITA
2024-01-16 00:29:00-03:00,1.04,SANTA TERESITA
2024-01-16 06:17:00-03:00,0.24,SANTA TERESITA
2024-01-16 13:20:00-03:00,1.86,SANTA TERESITA
2024-01-16 19:53:00-03:00,0.39,SANTA TERESITA
2024-01-17 01:26:00-03:00,1.05,SANTA TERESITA
2024-01-17 07:11:00-03:00,0.21,SANTA TERESITA
2024-01-17 14:24:00-03:00,1.84,SANTA TERESITA
2024-01-17 20:47:00-03:00,0.46,SANTA TERESITA
2024-01-18 02:24:00-03:00,1.08,SANTA TERESITA
2024-01-18 08:09:00-03:00,0.21,SANTA TERESITA
2024-01-18 15:26:00-03:00,1.77,SANTA TERESITA
2024-01-18 21:41:00-03:00,0.55,SANTA TERESITA
2024-01-19 03:21:00-03:00,1.13,SANTA TERESITA
2024-01-19 09:14:00-03:00,0.23,SANTA TERESITA
2024-01-19 16:28:00-03:00,1.65,SANTA TERESITA
2024-01-19 22:37:00-03:00,0.63,SANTA TERESITA
2024-01-20 04:19:00-03:00,1.2,SANTA TERESITA
2024-01-20 10:29:00-03:00,0.28,SANTA TERESITA
2024-01-20 17:29:00-03:00,1.51,SANTA TERESITA
2024-01-20 23:32:00-03:00,0.69,SANTA TERESITA
2024-01-21 05:17:00-03:00,1.28,SANTA TERESITA
2024-01-21 12:00:00-03:00,0.34,SANTA TERESITA
2024-01-21 18:29:00-03:00,1.35,SANTA TERESITA
2024-01-22 00:26:00-03:00,0.72,SANTA TERESITA
2024-01-22 06:17:00-03:00,1.36,SANTA TERESITA
2024-01-22 13:30:00-03:00,0.37,SANTA TERESITA
2024-01-22 19:27:00-03:00,1.19,SANTA TERESITA
2024-01-23 01:15:00-03:00,0.71,SANTA TERESITA
2024-01-23 07:18:00-03:00,1.43,SANTA TERESITA
2024-01-23 14:47:00-03:00,0.4,SANTA TERESITA
2024-01-23 20:22:00-03:00,1.06,SANTA TERESITA
2024-01-24 02:01:00-03:00,0.67,SANTA TERESITA
2024-01-24 08:20:00-03:00,1.48,SANTA TERESITA
2024-01-24 15:51:00-03:00,0.44,SANTA TERESITA
2024-01-24 21:12:00-03:00,0.96,SANTA TERESITA
2024-01-25 02:43:00-03:00,0.63,SANTA TERESITA
2024-01-25 09:21:00-03:00,1.5,SANTA TERESITA
2024-01-25 16:45:00-03:00,0.49,SANTA TERESITA
2024-01-25 21:54:00-03:00,0.9,SANTA TERESITA
2024-01-26 03:21:00-03:00,0.58,SANTA TERESITA
2024-01-26 10:18:00-03:00,1.5,SANTA TERESITA
2024-01-26 17:31:00-03:00,0.55,SANTA TERESITA
2024-01-26 22:27:00-03:00,0.87,SANTA TERESITA
2024-01-27 03:58:00-03:00,0.54,SANTA TERESITA
2024-01-27 11:06:00-03:00,1.49,SANTA TERESITA
2024-01-27 18:08:00-03:00,0.61,SANTA TERESITA
2024-01-27 22:53:00-03:00,0.87,SANTA TERESITA
2024-01-28 04:32:00-03:00,0.51,SANTA TERESITA
2024-01-28 11:46:00-03:00,1.46,SANTA TERESITA
2024-01-28 18:38:00-03:00,0.65,SANTA TERESITA
2024-01-28 23:18:00-03:00,0.89,SANTA TERESITA
2024-01-29 05:06:00-03:00,0.49,SANTA TERESITA
2024-01-29 12:19:00-03:00,1.44,SANTA TERESITA
2024-01-29 19:03:00-03:00,0.68,SANTA TERESITA
2024-01-29 23:44:00-03:00,0.91,SANTA TERESITA
2024-01-30 05:39:00-03:00,0.47,SANTA TERESITA
2024-01-30 12:50:00-03:00,1.42,SANTA TERESITA
2024-01-30 19:25:00-03:00,0.7,SANTA TERESITA
2024-01-31 00:14:00-03:00,0.95,SANTA TERESITA
2024-01-31 06:14:00-03:00,0.46,SANTA TERESITA
2024-01-31 13:22:00-03:00,1.4,SANTA TERESITA
2024-01-31 19:47:00-03:00,0.72,SANTA TERESITA
