datetime,height,port
2024-04-01 00:58:00-03:00,1.38,SANTA TERESITA
2024-04-01 07:41:00-03:00,0.43,SANTA TERESITA
2024-04-01 13:39:00-03:00,1.09,SANTA TERESITA
2024-04-01 19:21:00-03:00,0.6,SANTA TERESITA
2024-04-02 01:58:00-03:00,1.42,SANTA TERESITA
2024-04-02 08:33:00-03:00,0.47,SANTA TERESITA
2024-04-02 14:35:00-03:00,1.05,SANTA TERESITA
2024-04-02 20:03:00-03:00,0.57,SANTA TERESITA
2024-04-03 03:08:00-03:00,1.46,SANTA TERESITA
2024-04-03 09:35:00-03:00,0.5,SANTA TERESITA
2024-04-03 15:42:00-03:00,1.02,SANTA TERESITA
2024-04-03 20:56:00-03:00,0.55,SANTA TERESITA
2024-04-04 04:21:00-03:00,1.51,SANTA TERESITA
2024-04-04 10:51:00-03:00,0.53,SANTA TERESITA
2024-04-04 16:52:00-03:00,1.01,SANTA TERESITA
2024-04-04 22:00:00-03:00,0.53,SANTA TERESITA
2024-04-05 05:31:00-03:00,1.59,SANTA TERESITA
2024-04-05 12:20:00-03:00,0.51,SANTA TERESITA
2024-04-05 17:57:00-03:00,1.03,SANTA TERESITA
2024-04-05 23:20:00-03:00,0.49,SANTA TERESITA
2024-04-06 06:38:00-03:00,1.67,SANTA TERESITA
2024-04-06 13:38:00-03:00,0.47,SANTA TERESITA
2024-04-06 18:57:00-03:00,1.07,SANTA TERESITA
2024-04-07 00:48:00-03:00,0.41,SANTA TERESITA
2024-04-07 07:41:00-03:00,1.74,SANTA TERESITA
2024-04-07 14:39:00-03:00,0.43,SANTA TERESITA
2024-04-07 19:52:00-03:00,1.14,SANTA TERESITA
2024-04-08 02:04:00-03:00,0.29,SANTA TERESITA
2024-04-08 08:43:00-03:00,1.79,SANTA TERESITA
2024-04-08 15:30:00-03:00,0.41,SANTA TERESITA
2024-04-08 20:44:00-03:00,1.22,SANTA TERESITA
2024-04-09 03:09:00-03:00,0.16,SANTA TERESITA
2024-04-09 09:44:00-03:00,1.8,SANTA TERESITA
2024-04-09 16:16:00-03:00,0.42,SANTA TERESITA
2024-04-09 21:34:00-03:00,1.31,SANTA TERESITA
2024-04-10 04:08:00-03:00,0.05,SANTA TERESITA
2024-04-10 10:44:00-03:00,1.75,SANTA TERESITA
2024-04-10 16:58:00-03:00,0.46,SANTA TERESITA
2024-04-10 22:24:00-03:00,1.41,SANTA TERESITA
2024-04-11 05:04:00-03:00,0.0,SANTA TERESITA
2024-04-11 11:42:00-03:00,1.65,SANTA TERESITA
2024-04-11 17:37:00-03:00,0.51,SANTA TERESITA
2024-04-11 23:15:00-03:00,1.49,SANTA TERESITA
2024-04-12 06:00:00-03:00,0.01,SANTA TERESITA
2024-04-12 12:40:00-03:00,1.5,SANTA TERESITA
2024-04-12 18:14:00-03:00,0.55,SANTA TERESITA
2024-04-13 00:09:00-03:00,1.55,SANTA TERESITA
2024-04-13 06:57:00-03:00,0.09,SANTA TERESITA
2024-04-13 13:36:00-03:00,1.33,SANTA TERESITA
2024-04-13 18:50:00-03:00,0.58,SANTA TERESITA
2024-04-14 01:07:00-03:00,1.57,SANTA TERESITA
2024-04-14 07:57:00-03:00,0.21,SANTA TERESITA
2024-04-14 14:32:00-03:00,1.17,SANTA TERESITA
2024-04-14 19:26:00-03:00,0.6,SANTA TERESITA
2024-04-15 02:11:00-03:00,1.56,SANTA TERESITA
2024-04-15 09:05:00-03:00,0.36,SANTA TERESITA
2024-04-15 15:27:00-03:00,1.04,SANTA TERESITA
2024-04-15 20:03:00-03:00,0.61,SANTA TERESITA
2024-04-16 03:18:00-03:00,1.53,SANTA TERESITA
2024-04-16 10:32:00-03:00,0.49,SANTA TERESITA
2024-04-16 16:21:00-03:00,0.95,SANTA TERESITA
2024-04-16 20:45:00-03:00,0.63,SANTA TERESITA
2024-04-17 04:25:00-03:00,1.48,SANTA TERESITA
