datetime,height,port
2024-07-01 05:02:00-03:00,1.66,SANTA TERESITA
2024-07-01 11:22:00-03:00,0.6,SANTA TERESITA
2024-07-01 16:58:00-03:00,1.18,SANTA TERESITA
2024-07-01 23:05:00-03:00,0.3,SANTA TERESITA
2024-07-02 06:04:00-03:00,1.56,SANTA TERESITA
2024-07-02 12:19:00-03:00,0.64,SANTA TERESITA
2024-07-02 17:55:00-03:00,1.28,SANTA TERESITA
2024-07-03 00:34:00-03:00,0.3,SANTA TERESITA
2024-07-03 07:04:00-03:00,1.43,SANTA TERESITA
2024-07-03 13:11:00-03:00,0.66,SANTA TERESITA
2024-07-03 18:52:00-03:00,1.39,SANTA TERESITA
2024-07-04 01:57:00-03:00,0.29,SANTA TERESITA
2024-07-04 08:02:00-03:00,1.29,SANTA TERESITA
2024-07-04 13:57:00-03:00,0.65,SANTA TERESITA
2024-07-04 19:51:00-03:00,1.5,SANTA TERESITA
2024-07-05 03:10:00-03:00,0.29,SANTA TERESITA
2024-07-05 08:59:00-03:00,1.15,SANTA TERESITA
2024-07-05 14:39:00-03:00,0.61,SANTA TERESITA
2024-07-05 20:50:00-03:00,1.57,SANTA TERESITA
2024-07-06 04:13:00-03:00,0.32,SANTA TERESITA
2024-07-06 09:50:00-03:00,1.03,SANTA TERESITA
2024-07-06 15:19:00-03:00,0.56,SANTA TERESITA
2024-07-06 21:50:00-03:00,1.62,SANTA TERESITA
2024-07-07 05:10:00-03:00,0.38,SANTA TERESITA
2024-07-07 10:36:00-03:00,0.95,SANTA TERESITA
2024-07-07 15:58:00-03:00,0.51,SANTA TERESITA
2024-07-07 22:50:00-03:00,1.62,SANTA TERESITA
2024-07-08 06:01:00-03:00,0.46,SANTA TERESITA
2024-07-08 11:16:00-03:00,0.9,SANTA TERESITA
2024-07-08 16:37:00-03:00,0.47,SANTA TERESITA
2024-07-08 23:46:00-03:00,1.6,SANTA TERESITA
2024-07-09 06:46:00-03:00,0.54,SANTA TERESITA
2024-07-09 11:51:00-03:00,0.88,SANTA TERESITA
2024-07-09 17:16:00-03:00,0.44,SANTA TERESITA
2024-07-10 00:37:00-03:00,1.56,SANTA TERESITA
2024-07-10 07:26:00-03:00,0.62,SANTA TERESITA
2024-07-10 12:26:00-03:00,0.89,SANTA TERESITA
2024-07-10 17:54:00-03:00,0.44,SANTA TERESITA
2024-07-11 01:21:00-03:00,1.5,SANTA TERESITA
2024-07-11 07:59:00-03:00,0.67,SANTA TERESITA
2024-07-11 13:04:00-03:00,0.91,SANTA TERESITA
2024-07-11 18:33:00-03:00,0.45,SANTA TERESITA
2024-07-12 02:01:00-03:00,1.45,SANTA TERESITA
2024-07-12 08:30:00-03:00,0.7,SANTA TERESITA
2024-07-12 13:46:00-03:00,0.94,SANTA TERESITA
2024-07-12 19:11:00-03:00,0.48,SANTA TERESITA
2024-07-13 02:40:00-03:00,1.4,SANTA TERESITA
2024-07-13 09:00:00-03:00,0.72,SANTA TERESITA
2024-07-13 14:32:00-03:00,0.97,SANTA TERESITA
2024-07-13 19:52:00-03:00,0.5,SANTA TERESITA
2024-07-14 03:19:00-03:00,1.35,SANTA TERESITA
2024-07-14 09:31:00-03:00,0.74,SANTA TERESITA
2024-07-14 15:19:00-03:00,1.0,SANTA TERESITA
2024-07-14 20:37:00-03:00,0.53,SANTA TERESITA
2024-07-15 04:01:00-03:00,1.3,SANTA TERESITA
2024-07-15 10:04:00-03:00,0.75,SANTA TERESITA
2024-07-15 16:06:00-03:00,1.05,SANTA TERESITA
2024-07-15 21:27:00-03:00,0.56,SANTA TERESITA
2024-07-16 04:44:00-03:00,1.25,SANTA TERESITA
2024-07-16 10:38:00-03:00,0.76,SANTA TERESITA
2024-07-16 16:54:00-03:00,1.11,SANTA TERESITA
2024-07-16 22:27:00-03:00,0.59,SANTA TERESITA
2024-07-17 05:28:00-03:00,1.19,SANTA TERESITA
2024-07-17 11:14:00-03:00,0.75,SANTA TERESITA
2024-07-17 17:42:00-03:00,1.19,SANTA TERESITA
2024-07-17 23:41:00-03:00,0.61,SANTA TERESITA
2024-07-18 06:12:00-03:00,1.14,SANTA TERESITA
2024-07-18 11:56:00-03:00,0.73,SANTA TERESITA
