datetime,height,port
2024-09-01 03:29:00-03:00,0.48,SANTA TERESITA
2024-09-01 08:28:00-03:00,0.9,SANTA TERESITA
2024-09-01 14:03:00-03:00,0.59,SANTA TERESITA
2024-09-01 20:58:00-03:00,1.52,SANTA TERESITA
2024-09-02 04:19:00-03:00,0.52,SANTA TERESITA
2024-09-02 09:11:00-03:00,0.9,SANTA TERESITA
2024-09-02 14:55:00-03:00,0.54,SANTA TERESITA
2024-09-02 21:57:00-03:00,1.5,SANTA TERESITA
2024-09-03 04:58:00-03:00,0.58,SANTA TERESITA
2024-09-03 09:45:00-03:00,0.92,SANTA TERESITA
2024-09-03 15:38:00-03:00,0.5,SANTA TERESITA
2024-09-03 22:44:00-03:00,1.46,SANTA TERESITA
2024-09-04 05:27:00-03:00,0.63,SANTA TERESITA
2024-09-04 10:13:00-03:00,0.95,SANTA TERESITA
2024-09-04 16:14:00-03:00,0.47,SANTA TERESITA
2024-09-04 23:19:00-03:00,1.42,SANTA TERESITA
2024-09-05 05:50:00-03:00,0.67,SANTA TERESITA
2024-09-05 10:37:00-03:00,1.0,SANTA TERESITA
2024-09-05 16:47:00-03:00,0.46,SANTA TERESITA
2024-09-05 23:46:00-03:00,1.37,SANTA TERESITA
2024-09-06 06:08:00-03:00,0.7,SANTA TERESITA
2024-09-06 11:00:00-03:00,1.04,SANTA TERESITA
2024-09-06 17:18:00-03:00,0.44,SANTA TERESITA
2024-09-07 00:08:00-03:00,1.33,SANTA TERESITA
2024-09-07 06:23:00-03:00,0.72,SANTA TERESITA
2024-09-07 11:25:00-03:00,1.09,SANTA TERESITA
2024-09-07 17:49:00-03:00,0.43,SANTA TERESITA
2024-09-08 00:31:00-03:00,1.29,SANTA TERESITA
2024-09-08 06:38:00-03:00,0.72,SANTA TERESITA
2024-09-08 11:53:00-03:00,1.14,SANTA TERESITA
2024-09-08 18:23:00-03:00,0.43,SANTA TERESITA
2024-09-09 00:57:00-03:00,1.25,SANTA TERESITA
2024-09-09 06:54:00-03:00,0.72,SANTA TERESITA
2024-09-09 12:27:00-03:00,1.2,SANTA TERESITA
2024-09-09 19:00:00-03:00,0.43,SANTA TERESITA
2024-09-10 01:27:00-03:00,1.19,SANTA TERESITA
2024-09-10 07:14:00-03:00,0.7,SANTA TERESITA
2024-09-10 13:09:00-03:00,1.25,SANTA TERESITA
2024-09-10 19:42:00-03:00,0.46,SANTA TERESITA
2024-09-11 02:02:00-03:00,1.13,SANTA TERESITA
2024-09-11 07:39:00-03:00,0.68,SANTA TERESITA
2024-09-11 14:02:00-03:00,1.29,SANTA TERESITA
2024-09-11 20:29:00-03:00,0.5,SANTA TERESITA
2024-09-12 02:46:00-03:00,1.08,SANTA TERESITA
2024-09-12 08:12:00-03:00,0.65,SANTA TERESITA
2024-09-12 15:06:00-03:00,1.33,SANTA TERESITA
